Id,Creation Time,Owner,Tags,Group Tags,args/seed,args/retrain_freq,args/budget,args/strategy,test/test_gold_acc (last),online/1000-gold_0 (average),online/1500-gold_0 (average),online/2000-gold_0 (average),online/2500-gold_0 (average),online/3000-gold_0 (average),online/3500-gold_0 (average),args/learning_rate,args/buffer_percent,args/buffer_policy_parameter,train/total_flops,train/total_time_elapsed,train/total_flops (last),train/total_time_elapsed (last),args/incremental,args/ewc
ON-5577,12/08/2024 10:44,shriram,"[""FEVER""]","[""random""]",0,1000,2500,EN,0.671201814,,,,0.744695733,,,5.00E-04,0.5,random,,,4.46E+15,2345.781364,yes,no
ON-5572,12/08/2024 10:44,shriram,"[""FEVER""]","[""random""]",0,1000,2000,CS,0.649281935,,,0.71298671,,,,5.00E-04,0.5,random,,,3.24E+15,1666.980428,yes,no
ON-5570,12/08/2024 10:44,shriram,"[""FEVER""]","[""random""]",1,1000,3500,MV,0.677248677,,,,,,0.763814409,5.00E-04,0.5,random,,,5.18E+15,2790.262236,yes,no
ON-5569,12/08/2024 10:44,shriram,"[""FEVER""]","[""random""]",0,1000,2000,EN,0.690854119,,,0.736535323,,,,5.00E-04,0.5,random,,,3.06E+15,1651.348901,yes,no
ON-5566,12/08/2024 10:43,shriram,"[""FEVER""]","[""random""]",1,1000,2500,CS,0.702947846,,,,0.738866869,,,5.00E-04,0.5,random,,,3.32E+15,1771.777352,yes,no
ON-5563,12/08/2024 10:43,shriram,"[""FEVER""]","[""random""]",1,1000,3000,EN,0.678004535,,,,,0.761016554,,5.00E-04,0.5,random,,,3.84E+15,2052.089078,yes,no
ON-5561,12/08/2024 10:43,shriram,"[""FEVER""]","[""random""]",2,1000,3500,MV,0.694633409,,,,,,0.763581254,5.00E-04,0.5,random,,,5.61E+15,3255.896713,yes,no
ON-5551,12/08/2024 10:42,shriram,"[""FEVER""]","[""random""]",0,1000,3500,EN,0.671201814,,,,,,0.760550245,5.00E-04,0.5,random,,,4.68E+15,2607.592952,yes,no
ON-5544,12/08/2024 10:42,shriram,"[""FEVER""]","[""random""]",1,1000,2000,EN,0.691609977,,,0.744229424,,,,5.00E-04,0.5,random,,,3.65E+15,2094.23503,yes,no
ON-5543,12/08/2024 10:41,shriram,"[""FEVER""]","[""random""]",1,1000,1000,CS,0.681027967,0.702961063,,,,,,5.00E-04,0.5,random,,,1.84E+15,1044.044212,yes,no
ON-5538,12/08/2024 10:41,shriram,"[""FEVER""]","[""random""]",2,1000,3000,CS,0.68707483,,,,,0.741431569,,5.00E-04,0.5,random,,,4.93E+15,2635.806233,yes,no
ON-5537,12/08/2024 10:41,shriram,"[""FEVER""]","[""random""]",0,1000,2500,MV,0.678004535,,,,0.752856144,,,5.00E-04,0.5,random,,,4.31E+15,2481.742056,yes,no
ON-5532,12/08/2024 10:40,shriram,"[""FEVER""]","[""random""]",2,1000,2000,EN,0.67271353,,,0.726043367,,,,5.00E-04,0.5,random,,,4.04E+15,2477.342767,yes,no
ON-5527,12/08/2024 10:40,shriram,"[""FEVER""]","[""random""]",1,1000,1000,EN,0.678760393,0.722546048,,,,,,5.00E-04,0.5,random,,,1.62E+15,910.9026809,yes,no
ON-5524,12/08/2024 10:40,shriram,"[""FEVER""]","[""random""]",1,1000,3500,EN,0.707482993,,,,,,0.771042201,5.00E-04,0.5,random,,,4.86E+15,2532.002104,yes,no
ON-5514,12/08/2024 10:39,shriram,"[""FEVER""]","[""random""]",0,1000,1500,EN,0.668178382,,0.722779203,,,,,5.00E-04,0.5,random,,,2.53E+15,1429.875035,yes,no
ON-5512,12/08/2024 10:39,shriram,"[""FEVER""]","[""random""]",0,1000,2000,MV,0.690854119,,,0.750058289,,,,5.00E-04,0.5,random,,,4.70E+15,2879.084852,yes,no
ON-5510,12/08/2024 10:39,shriram,"[""FEVER""]","[""random""]",0,1000,1500,CS,0.662131519,,0.708323619,,,,,5.00E-04,0.5,random,,,3.44E+15,1753.454826,yes,no
ON-5491,12/08/2024 10:37,shriram,"[""FEVER""]","[""random""]",1,1000,3000,MV,0.681027967,,,,,0.762881791,,5.00E-04,0.5,random,,,5.24E+15,3145.372688,yes,no
ON-5490,12/08/2024 10:37,shriram,"[""FEVER""]","[""random""]",0,1000,3000,EN,0.691609977,,,,,0.755653999,,5.00E-04,0.5,random,,,4.10E+15,2152.07221,yes,no
ON-5488,12/08/2024 10:37,shriram,"[""FEVER""]","[""random""]",0,1000,2500,CS,0.662131519,,,,0.73280485,,,5.00E-04,0.5,random,,,3.33E+15,1788.588926,yes,no
ON-5478,12/08/2024 10:36,shriram,"[""FEVER""]","[""random""]",2,1000,1000,EN,0.684051398,0.719281884,,,,,,5.00E-04,0.5,random,,,1.67E+15,879.7832062,yes,no
ON-5473,12/08/2024 10:35,shriram,"[""FEVER""]","[""random""]",0,1000,1000,EN,0.684051398,0.707391,,,,,,5.00E-04,0.5,random,,,1.97E+15,1171.654912,yes,no
ON-5472,12/08/2024 10:35,shriram,"[""FEVER""]","[""random""]",2,1000,3500,CS,0.694633409,,,,,,0.757286081,5.00E-04,0.5,random,,,5.27E+15,2902.778525,yes,no
ON-5468,12/08/2024 10:35,shriram,"[""FEVER""]","[""random""]",2,1000,2000,MV,0.709750567,,,0.751224062,,,,5.00E-04,0.5,random,,,2.85E+15,1897.077873,yes,no
ON-5464,12/08/2024 10:35,shriram,"[""FEVER""]","[""random""]",1,1000,3000,CS,0.674981104,,,,,0.751457216,,5.00E-04,0.5,random,,,4.35E+15,2356.301452,yes,no
ON-5461,12/08/2024 10:35,shriram,"[""FEVER""]","[""random""]",1,1000,1500,MV,0.695389267,,0.730939613,,,,,5.00E-04,0.5,random,,,2.37E+15,1378.338415,yes,no
ON-5459,12/08/2024 10:34,shriram,"[""FEVER""]","[""random""]",2,1000,1500,MV,0.688586546,,0.750757752,,,,,5.00E-04,0.5,random,,,2.29E+15,1287.990571,yes,no
ON-5457,12/08/2024 10:34,shriram,"[""FEVER""]","[""random""]",1,1000,1000,MV,0.668178382,0.698764281,,,,,,5.00E-04,0.5,random,,,1.63E+15,902.865087,yes,no
ON-5453,12/08/2024 10:34,shriram,"[""FEVER""]","[""random""]",2,1000,2500,EN,0.684807256,,,,0.736768478,,,5.00E-04,0.5,random,,,3.64E+15,1967.326035,yes,no
ON-5444,12/08/2024 10:33,shriram,"[""FEVER""]","[""random""]",2,1000,3000,EN,0.674225246,,,,,0.750524598,,5.00E-04,0.5,random,,,4.77E+15,2523.470136,yes,no
ON-5441,12/08/2024 10:33,shriram,"[""FEVER""]","[""random""]",0,1000,3500,MV,0.67271353,,,,,,0.767778037,5.00E-04,0.5,random,,,5.81E+15,3269.641511,yes,no
ON-5437,12/08/2024 10:33,shriram,"[""FEVER""]","[""random""]",2,1000,2500,MV,0.694633409,,,,0.757985544,,,5.00E-04,0.5,random,,,4.43E+15,2601.21663,yes,no
ON-5436,12/08/2024 10:33,shriram,"[""FEVER""]","[""random""]",0,1000,3000,MV,0.66893424,,,,,0.762881791,,5.00E-04,0.5,random,,,4.36E+15,2392.709617,yes,no
ON-5423,12/08/2024 10:31,shriram,"[""FEVER""]","[""random""]",0,1000,1500,MV,0.670445956,,0.732105386,,,,,5.00E-04,0.5,random,,,2.84E+15,1484.38571,yes,no
ON-5401,12/08/2024 10:30,shriram,"[""FEVER""]","[""random""]",0,1000,1000,MV,0.673469388,0.718349266,,,,,,5.00E-04,0.5,random,,,1.91E+15,961.3058217,yes,no
ON-5393,12/08/2024 10:29,shriram,"[""FEVER""]","[""random""]",2,1000,2000,CS,0.68707483,,,0.721846584,,,,5.00E-04,0.5,random,,,3.38E+15,1713.004482,yes,no
ON-5392,12/08/2024 10:29,shriram,"[""FEVER""]","[""random""]",0,1000,3500,CS,0.690098262,,,,,,0.755653999,5.00E-04,0.5,random,,,4.92E+15,2683.820705,yes,no
ON-5391,12/08/2024 10:29,shriram,"[""FEVER""]","[""random""]",0,1000,1000,CS,0.665154951,0.698764281,,,,,,5.00E-04,0.5,random,,,1.64E+15,881.7579267,yes,no
ON-5389,12/08/2024 10:29,shriram,"[""FEVER""]","[""random""]",2,1000,1500,EN,0.690854119,,0.725810212,,,,,5.00E-04,0.5,random,,,2.37E+15,1328.139339,yes,no
ON-5387,12/08/2024 10:28,shriram,"[""FEVER""]","[""random""]",1,1000,1500,CS,0.692365835,,0.71298671,,,,,5.00E-04,0.5,random,,,2.98E+15,1556.348028,yes,no
ON-5385,12/08/2024 10:28,shriram,"[""FEVER""]","[""random""]",2,1000,1000,MV,0.693877551,0.721846584,,,,,,5.00E-04,0.5,random,,,1.30E+15,748.5275049,yes,no
ON-5368,12/08/2024 10:27,shriram,"[""FEVER""]","[""random""]",1,1000,2000,MV,0.690854119,,,0.750058289,,,,5.00E-04,0.5,random,,,3.76E+15,2098.0189,yes,no
ON-5366,12/08/2024 10:27,shriram,"[""FEVER""]","[""random""]",1,1000,2500,EN,0.681027967,,,,0.752856144,,,5.00E-04,0.5,random,,,3.21E+15,1661.675543,yes,no
ON-5365,12/08/2024 10:26,shriram,"[""FEVER""]","[""random""]",1,1000,2500,MV,0.688586546,,,,0.758451854,,,5.00E-04,0.5,random,,,4.15E+15,2617.111417,yes,no
ON-5363,12/08/2024 10:26,shriram,"[""FEVER""]","[""random""]",1,1000,2000,CS,0.684807256,,,0.730706458,,,,5.00E-04,0.5,random,,,3.64E+15,2081.472974,yes,no
ON-5360,12/08/2024 10:26,shriram,"[""FEVER""]","[""random""]",2,1000,3000,MV,0.684807256,,,,,0.759617626,,5.00E-04,0.5,random,,,4.81E+15,2660.337948,yes,no
ON-5355,12/08/2024 10:26,shriram,"[""FEVER""]","[""random""]",1,1000,1500,EN,0.690098262,,0.729540685,,,,,5.00E-04,0.5,random,,,2.73E+15,1418.60113,yes,no
