"Id","Creation Time","Owner","Tags","Group Tags","args/seed","args/retrain_freq","args/budget","args/strategy","test/test_gold_acc (last)","online/1000-gold_0 (average)","online/1500-gold_0 (average)","online/2000-gold_0 (average)","online/2500-gold_0 (average)","online/3000-gold_0 (average)","online/3500-gold_0 (average)","args/learning_rate","args/buffer_percent","args/buffer_policy_parameter","train/total_flops","train/total_time_elapsed","train/total_flops (last)","train/total_time_elapsed (last)","args/incremental","args/ewc"
"ON-5602","2024-08-12 19:14:33","shriram","[""FEVER""]","[""hard_labels""]","2","1000","3500","b1","0.6878306878306878",,,,,,"0.7638144089531359","5.0E-4","0.5","random",,,"4.74741225E15","2323.3251106739044","yes","no"
"ON-5601","2024-08-12 19:14:29","shriram","[""FEVER""]","[""hard_labels""]","1","1000","3500","b1","0.6848072562358276",,,,,,"0.7577523898344602","5.0E-4","0.5","random",,,"4.13981952E15","2282.5619020462036","yes","no"
"ON-5600","2024-08-12 19:14:25","shriram","[""FEVER""]","[""hard_labels""]","2","1000","2000","b1","0.6991685563114135",,,"0.7311727675448823",,,,"5.0E-4","0.5","random",,,"1.64875815E15","946.5282278060913","yes","no"
"ON-5599","2024-08-12 19:14:20","shriram","[""FEVER""]","[""hard_labels""]","0","1000","1500","b1","0.6651549508692366",,"0.7141524830962929",,,,,"5.0E-4","0.5","random",,,"2.30913744E15","1258.7911021709442","yes","no"
"ON-5598","2024-08-12 19:14:14","shriram","[""FEVER""]","[""hard_labels""]","1","1000","2500","b1","0.6893424036281179",,,,"0.7418978782933084",,,"5.0E-4","0.5","random",,,"3.01979823E15","1497.2368671894073","yes","no"
"ON-5597","2024-08-12 19:14:10","shriram","[""FEVER""]","[""hard_labels""]","1","1000","3000","b1","0.690098261526833",,,,,"0.7519235252972721",,"5.0E-4","0.5","random",,,"3.11325483E15","1679.353853225708","yes","no"
"ON-5596","2024-08-12 19:14:05","shriram","[""FEVER""]","[""hard_labels""]","1","1000","1000","b1","0.654572940287226","0.6733504313359757",,,,,,"5.0E-4","0.5","random",,,"8.9907597E14","492.8407382965088","yes","no"
"ON-5595","2024-08-12 19:14:01","shriram","[""FEVER""]","[""hard_labels""]","1","1000","2000","b1","0.690098261526833",,,"0.73327115877827",,,,"5.0E-4","0.5","random",,,"2.34049356E15","1255.563903093338","yes","no"
"ON-5594","2024-08-12 19:13:56","shriram","[""FEVER""]","[""hard_labels""]","2","1000","1500","b1","0.6772486772486772",,"0.7134530193518303",,,,,"5.0E-4","0.5","random",,,"1.59521202E15","843.0043625831604","yes","no"
"ON-5593","2024-08-12 19:13:52","shriram","[""FEVER""]","[""hard_labels""]","0","1000","3000","b1","0.6840513983371126",,,,,"0.7409652599673584",,"5.0E-4","0.5","random",,,"3.86546388E15","2084.7098495960236","yes","no"
"ON-5592","2024-08-12 19:13:48","shriram","[""FEVER""]","[""hard_labels""]","0","1000","2500","b1","0.6795162509448224",,,,"0.7267428304966193",,,"5.0E-4","0.5","random",,,"3.41724441E15","1852.401676416397","yes","no"
"ON-5591","2024-08-12 19:13:43","shriram","[""FEVER""]","[""hard_labels""]","2","1000","3000","b1","0.6855631141345427",,,,,"0.7423641874562835",,"5.0E-4","0.5","random",,,"3.05775639E15","1617.3766388893127","yes","no"
"ON-5590","2024-08-12 19:13:39","shriram","[""FEVER""]","[""hard_labels""]","2","1000","1000","b1","0.691609977324263","0.7062252273257169",,,,,,"5.0E-4","0.5","random",,,"9.0024753E14","493.0899615287781","yes","no"
"ON-5589","2024-08-12 19:13:34","shriram","[""FEVER""]","[""hard_labels""]","0","1000","2000","b1","0.690854119425548",,,"0.7237118209372814",,,,"5.0E-4","0.5","random",,,"1.52151615E15","757.3633732795715","yes","no"
"ON-5588","2024-08-12 19:13:30","shriram","[""FEVER""]","[""hard_labels""]","0","1000","1000","b1","0.6764928193499622","0.7132198647703427",,,,,,"5.0E-4","0.5","random",,,"1.17325806E15","607.5175971984863","yes","no"
"ON-5587","2024-08-12 19:13:26","shriram","[""FEVER""]","[""hard_labels""]","0","1000","3500","b1","0.6969009826152683",,,,,,"0.7617160177197482","5.0E-4","0.5","random",,,"5.23864167E15","2921.641236782074","yes","no"
"ON-5586","2024-08-12 19:13:22","shriram","[""FEVER""]","[""hard_labels""]","1","1000","1500","b1","0.6870748299319728",,"0.7073910002331546",,,,,"5.0E-4","0.5","random",,,"1.50213897E15","809.0949413776398","yes","no"
"ON-5585","2024-08-12 19:13:17","shriram","[""FEVER""]","[""hard_labels""]","2","1000","2500","b1","0.6583522297808012",,,,"0.7295406854744696",,,"5.0E-4","0.5","random",,,"2.52968994E15","1480.885213136673","yes","no"
