"Id","Creation Time","Owner","Tags","Group Tags","args/seed","args/retrain_freq","args/budget","args/strategy","test/test_gold_acc (last)","online/1000-gold_0 (average)","online/1500-gold_0 (average)","online/2000-gold_0 (average)","online/2500-gold_0 (average)","online/3000-gold_0 (average)","online/3500-gold_0 (average)","args/learning_rate","args/buffer_percent","args/buffer_policy_parameter","train/total_flops","train/total_time_elapsed","train/total_flops (last)","train/total_time_elapsed (last)","args/incremental","args/ewc"
"ON-6295","2024-08-15 09:54:49","shriram","[""FEVER_LABEL""]","[]","0","1000","2500","BT","0.4928193499622071",,,,"0.64373979948706",,,"5.0E-4","0.0","default",,,"1.32503022E15","787.4998979568481","yes","no"
"ON-6294","2024-08-15 09:54:45","shriram","[""FEVER_LABEL""]","[]","2","1000","3000","b1","0.6938775510204082",,,,,"0.7460946607600839",,"5.0E-4","1.0","default",,,"6.39136758E15","3360.8383452892303","no","no"
"ON-6293","2024-08-15 09:54:42","shriram","[""FEVER_LABEL""]","[]","0","1000","2000","BT","0.4928193499622071",,,"0.6122639309862439",,,,"5.0E-4","0.0","default",,,"1.1306761444392E15","777.0366835594177","yes","yes"
"ON-6289","2024-08-15 09:54:16","shriram","[""FEVER_LABEL""]","[]","2","1000","2500","b1","0.4928193499622071",,,,"0.7670785730939613",,,"5.0E-4","0.0","default",,,"1.65412479E15","872.9350235462189","yes","no"
"ON-6287","2024-08-15 09:54:06","shriram","[""FEVER_LABEL""]","[]","2","1000","2000","BT","0.4928193499622071",,,"0.6010725110748426",,,,"5.0E-4","0.0","default",,,"1.15826693353008E15","664.8517525196075","yes","yes"
"ON-6283","2024-08-15 09:53:42","shriram","[""FEVER_LABEL""]","[]","2","1000","1500","BT","0.6863189720332578",,"0.5364886920027978",,,,,"5.0E-4","0.5","random",,,"2.4212151E15","1248.5569922924042","yes","no"
"ON-6281","2024-08-15 09:53:32","shriram","[""FEVER_LABEL""]","[]","2","1000","3500","b1","0.6878306878306878",,,,,,"0.7568197715085101","5.0E-4","1.0","default",,,"9.32022537E15","4735.87983083725","no","no"
"ON-6280","2024-08-15 09:53:28","shriram","[""FEVER_LABEL""]","[]","0","1000","1000","b1","0.5071806500377929","0.4215434833294474",,,,,,"5.0E-4","1.0","default",,,"7.7127897E14","441.50594115257263","yes","no"
"ON-6272","2024-08-15 09:52:40","shriram","[""FEVER_LABEL""]","[]","1","1000","2500","BT","0.4928193499622071",,,,"0.6262532058754955",,,"5.0E-4","0.0","default",,,"1.32738246E15","695.3771874904633","yes","no"
"ON-6271","2024-08-15 09:52:36","shriram","[""FEVER_LABEL""]","[]","0","1000","2000","b1","0.6848072562358276",,,"0.7290743763114945",,,,"5.0E-4","0.0","default",,,"1.60364997E15","871.3759758472443","yes","no"
