"Id","Creation Time","Owner","Tags","Group Tags","args/seed","args/retrain_freq","args/budget","args/strategy","test/test_gold_acc (last)","online/1000-gold_0 (average)","online/1500-gold_0 (average)","online/2000-gold_0 (average)","online/2500-gold_0 (average)","online/3000-gold_0 (average)","online/3500-gold_0 (average)","args/learning_rate","args/buffer_percent","args/buffer_policy_parameter","train/total_flops","train/total_time_elapsed","train/total_flops (last)","train/total_time_elapsed (last)","args/incremental","args/ewc"
"ON-5329","2024-08-11 12:45:09","shriram","[""FEVER""]","[]","0","1000","2500","b1","0.6795162509448224",,,,"0.73327115877827",,,"5.0E-4","0.5","random",,,"2.53894035E15","1378.872153520584","yes","no"
"ON-5327","2024-08-11 12:45:02","shriram","[""FEVER""]","[]","1","1000","1500","b1","0.6795162509448224",,"0.7176498018186057",,,,,"5.0E-4","0.5","random",,,"1.97845371E15","1046.5850038528442","yes","no"
"ON-5326","2024-08-11 12:44:55","shriram","[""FEVER""]","[]","1","1000","1000","BT","0.6575963718820862","0.7092562368850548",,,,,,"5.0E-4","0.5","random",,,"1.34337402E15","741.7667052745819","yes","no"
"ON-5324","2024-08-11 12:44:38","shriram","[""FEVER""]","[]","2","1000","1000","b1","0.6984126984126984","0.7211471205409187",,,,,,"5.0E-4","0.5","random",,,"9.0024753E14","458.7160892486572","yes","no"
"ON-5322","2024-08-11 12:44:19","shriram","[""FEVER""]","[]","2","1000","3000","b1","0.6787603930461074",,,,,"0.7505245978083469",,"5.0E-4","0.5","random",,,"3.80301639E15","1914.435034751892","yes","no"
"ON-5321","2024-08-11 12:44:15","shriram","[""FEVER""]","[]","1","1000","2500","BT","0.6613756613756614",,,,"0.7617160177197482",,,"5.0E-4","0.5","random",,,"4.17254349E15","2175.708746433258","yes","no"
"ON-5317","2024-08-11 12:43:47","shriram","[""FEVER""]","[]","2","1000","1500","b1","0.674225245653817",,"0.7132198647703427",,,,,"5.0E-4","0.5","random",,,"1.4567124E15","760.1269297599792","yes","no"
"ON-5314","2024-08-11 12:43:31","shriram","[""FEVER""]","[]","1","1000","2000","BT","0.6931216931216931",,,"0.7495919794823969",,,,"5.0E-4","0.5","random",,,"3.4947969E15","2020.4329841136932","yes","no"
"ON-5312","2024-08-11 12:43:22","shriram","[""FEVER""]","[]","0","1000","3500","b1","0.6976568405139834",,,,,,"0.7621823268827232","5.0E-4","0.5","random",,,"5.23278351E15","2962.0141661167145","yes","no"
"ON-5309","2024-08-11 12:43:05","shriram","[""FEVER""]","[]","0","1000","3000","BT","0.6848072562358276",,,,,"0.7654464910235486",,"5.0E-4","0.5","random",,,"4.72890243E15","2458.4705407619476","yes","no"
"ON-5307","2024-08-11 12:42:52","shriram","[""FEVER""]","[]","0","1000","3500","BT","0.6810279667422524",,,,,,"0.7761716017719749","5.0E-4","0.5","random",,,"4.82712984E15","2531.529215335846","yes","no"
"ON-5304","2024-08-11 12:42:30","shriram","[""FEVER""]","[]","1","1000","1000","b1","0.6659108087679516","0.6892049428771275",,,,,,"5.0E-4","0.5","random",,,"1.03739535E15","553.1537380218506","yes","no"
"ON-5303","2024-08-11 12:42:25","shriram","[""FEVER""]","[]","1","1000","2000","b1","0.6938775510204082",,,"0.7409652599673584",,,,"5.0E-4","0.5","random",,,"1.92553542E15","1011.0893175601959","yes","no"
"ON-5300","2024-08-11 12:41:59","shriram","[""FEVER""]","[]","1","1000","3000","BT","0.6984126984126984",,,,,"0.769176964327349",,"5.0E-4","0.5","random",,,"4.05158157E15","2031.6501648426056","yes","no"
