"Id","Creation Time","Owner","Tags","Group Tags","args/seed","args/retrain_freq","args/budget","args/strategy","test/test_gold_acc (last)","online/1000-gold_0 (average)","online/1500-gold_0 (average)","online/2000-gold_0 (average)","online/2500-gold_0 (average)","online/3000-gold_0 (average)","online/3500-gold_0 (average)","args/learning_rate","args/buffer_percent","args/buffer_policy_parameter","train/total_flops","train/total_time_elapsed","train/total_flops (last)","train/total_time_elapsed (last)","args/incremental","args/ewc"
"ON-5040","2024-08-10 00:37:05","shriram","[""FEVER""]","[]","1","100","3500","BT","0.7067271352985639",,,,,,"0.7705758918162742","5.0E-4","0.0","default",,,"1.95675633E15","1220.0492191314697","yes","no"
"ON-5039","2024-08-10 00:36:59","shriram","[""FEVER""]","[]","0","100","2500","BT","0.7037037037037037",,,,"0.7593844719048729",,,"5.0E-4","0.0","default",,,"1.41182187E15","1097.9807274341583","yes","no"
"ON-5036","2024-08-10 00:36:31","shriram","[""FEVER""]","[]","1","100","1000","BT","0.6772486772486772","0.7020284448589414",,,,,,"5.0E-4","0.0","default",,,"8.3710572E14","535.3730368614197","yes","no"
"ON-5035","2024-08-10 00:36:24","shriram","[""FEVER""]","[]","2","100","2500","BT","0.6787603930461074",,,,"0.7533224527861972",,,"5.0E-4","0.0","default",,,"1.47015924E15","1039.9467084407806","yes","no"
"ON-5033","2024-08-10 00:36:05","shriram","[""FEVER""]","[]","2","100","2000","BT","0.6772486772486772",,,"0.7544882256936348",,,,"5.0E-4","0.0","default",,,"1.19823018E15","945.0201959609985","yes","no"
"ON-5031","2024-08-10 00:35:48","shriram","[""FEVER""]","[]","0","100","3000","BT","0.6666666666666666",,,,,"0.7668454185124738",,"5.0E-4","0.0","default",,,"1.7352327E15","1170.1762313842773","yes","no"
"ON-5029","2024-08-10 00:35:28","shriram","[""FEVER""]","[]","1","100","3000","BT","0.690854119425548",,,,,"0.759850781067848",,"5.0E-4","1.0","default",,,"4.049178513E16","25041.700439453125","yes","no"
"ON-5023","2024-08-10 00:34:23","shriram","[""FEVER""]","[]","0","100","2500","BT","0.674225245653817",,,,"0.7505245978083469",,,"5.0E-4","1.0","default",,,"4.409084115E16","22894.910582304","yes","no"
"ON-5022","2024-08-10 00:34:17","shriram","[""FEVER""]","[]","0","100","2000","BT","0.6953892668178382",,,"0.7467941245045465",,,,"5.0E-4","0.0","default",,,"1.30006563E15","854.4706423282623","yes","no"
"ON-5019","2024-08-10 00:33:48","shriram","[""FEVER""]","[]","0","100","3500","BT","0.6878306878306878",,,,,,"0.7675448822569364","5.0E-4","0.0","default",,,"2.06368176E15","1303.6622183322906","yes","no"
