"Id","Creation Time","Owner","Tags","Group Tags","args/seed","args/retrain_freq","args/budget","args/strategy","test/test_gold_acc (last)","online/1000-gold_0 (average)","online/1500-gold_0 (average)","online/2000-gold_0 (average)","online/2500-gold_0 (average)","online/3000-gold_0 (average)","online/3500-gold_0 (average)","args/learning_rate","args/buffer_percent","args/buffer_policy_parameter","train/total_flops","train/total_time_elapsed","train/total_flops (last)","train/total_time_elapsed (last)","args/incremental","args/ewc"
"ON-1931","2024-07-11 12:27:21","shriram","[""BATCH_INC_LINEAR""]","[""BP_default""]","2","1000","2500","b1","0.6016949152542372",,,,"0.6488726790450928",,,"5.0E-4","0.5","default",,,,,"yes",
"ON-1928","2024-07-11 12:27:07","shriram","[""BATCH_INC_LINEAR""]","[""BP_default""]","0","1000","1000","b1","0.576271186440678","0.5872015915119363",,,,,,"5.0E-4","0.5","default",,,,,"yes",
"ON-1927","2024-07-11 12:27:01","shriram","[""BATCH_INC_LINEAR""]","[""BP_default""]","0","1000","2500","b1","0.6251629726205997",,,,"0.6540119363395226",,,"5.0E-4","0.75","default",,,,,"yes",
"ON-1925","2024-07-11 12:26:51","shriram","[""BATCH_INC_LINEAR""]","[""BP_default""]","0","1000","3500","b1","0.6349413298565841",,,,,,"0.67092175066313","5.0E-4","0.5","default",,,,,"yes",
"ON-1923","2024-07-11 12:26:42","shriram","[""BATCH_INC_LINEAR""]","[""BP_default""]","2","1000","3000","b1","0.6016949152542372",,,,,"0.6536803713527851",,"5.0E-4","0.25","default",,,,,"yes",
"ON-1922","2024-07-11 12:26:37","shriram","[""BATCH_INC_LINEAR""]","[""BP_default""]","2","1000","1000","b1","0.5710560625814863","0.5936671087533156",,,,,,"5.0E-4","0.5","default",,,,,"yes",
"ON-1920","2024-07-11 12:26:27","shriram","[""BATCH_INC_LINEAR""]","[""BP_default""]","0","1000","3000","b1","0.6264667535853976",,,,,"0.6603116710875332",,"5.0E-4","0.5","default",,,,,"yes",
"ON-1919","2024-07-11 12:26:22","shriram","[""BATCH_INC_LINEAR""]","[""BP_default""]","0","1000","1500","b1","0.5658409387222947",,"0.6026193633952255",,,,,"5.0E-4","0.25","default",,,,,"yes",
"ON-1918","2024-07-11 12:26:17","shriram","[""BATCH_INC_LINEAR""]","[""BP_default""]","0","1000","3500","b1","0.5977835723598436",,,,,,"0.6546750663129973","5.0E-4","0.25","default",,,,,"yes",
"ON-1916","2024-07-11 12:26:07","shriram","[""BATCH_INC_LINEAR""]","[""BP_default""]","1","1000","1000","b1","0.5567144719687093","0.5860411140583555",,,,,,"5.0E-4","0.5","default",,,,,"yes",
"ON-1915","2024-07-11 12:26:02","shriram","[""BATCH_INC_LINEAR""]","[""BP_default""]","0","1000","2500","b1","0.6043024771838331",,,,"0.6458885941644562",,,"5.0E-4","0.25","default",,,,,"yes",
"ON-1914","2024-07-11 12:25:57","shriram","[""BATCH_INC_LINEAR""]","[""BP_default""]","2","1000","2000","b1","0.5827900912646675",,,"0.6293103448275862",,,,"5.0E-4","0.25","default",,,,,"yes",
