"Id","Creation Time","Owner","Tags","Group Tags","args/seed","args/retrain_freq","args/budget","args/strategy","test/test_gold_acc (last)","online/1000-gold_0 (average)","online/1500-gold_0 (average)","online/2000-gold_0 (average)","online/2500-gold_0 (average)","online/3000-gold_0 (average)","online/3500-gold_0 (average)","args/learning_rate","args/buffer_percent","args/buffer_policy_parameter","train/total_flops","train/total_time_elapsed","train/total_flops (last)","train/total_time_elapsed (last)","args/incremental","args/ewc"
"ON-2538","2024-07-15 15:12:16","shriram","[""BATCH_INC_LINEAR""]","[]","2","1000","1000","b1","0.5541069100391134","0.5815649867374005",,,,,,"5.0E-4","1.0","BT",,,,,"yes",
"ON-2536","2024-07-15 15:12:04","shriram","[""BATCH_INC_LINEAR""]","[]","1","1000","3500","b1","0.5547588005215124",,,,,,"0.6419098143236074","5.0E-4","0.0","BT",,,,,"yes",
"ON-2517","2024-07-15 15:10:26","shriram","[""BATCH_INC_LINEAR""]","[]","2","1000","1000","b1","0.5691003911342895","0.5775862068965517",,,,,,"5.0E-4","0.0","BT",,,,,"yes",
"ON-2493","2024-07-15 15:08:21","shriram","[""BATCH_INC_LINEAR""]","[]","1","1000","1000","b1","0.5645371577574967","0.5780835543766578",,,,,,"5.0E-4","0.0","BT",,,,,"yes",
"ON-2487","2024-07-15 15:07:54","shriram","[""BATCH_INC_LINEAR""]","[]","2","1000","2500","b1","0.5495436766623207",,,,"0.618368700265252",,,"5.0E-4","0.0","BT",,,,,"yes",
"ON-2451","2024-07-15 15:04:41","shriram","[""BATCH_INC_LINEAR""]","[]","2","1000","3000","b1","0.5580182529335072",,,,,"0.6321286472148541",,"5.0E-4","0.0","BT",,,,,"yes",
"ON-2445","2024-07-15 15:04:13","shriram","[""BATCH_INC_LINEAR""]","[]","1","1000","1500","b1","0.5671447196870926",,"0.6021220159151194",,,,,"5.0E-4","1.0","BT",,,,,"yes",
"ON-2444","2024-07-15 15:04:08","shriram","[""BATCH_INC_LINEAR""]","[]","2","1000","3500","b1","0.5801825293350718",,,,,,"0.6521883289124668","5.0E-4","1.0","BT",,,,,"yes",
"ON-2442","2024-07-15 15:03:59","shriram","[""BATCH_INC_LINEAR""]","[]","1","1000","2000","b1","0.5749674054758801",,,"0.6175397877984085",,,,"5.0E-4","1.0","BT",,,,,"yes",
"ON-2440","2024-07-15 15:03:49","shriram","[""BATCH_INC_LINEAR""]","[]","2","1000","1500","b1","0.5586701434159062",,"0.5983090185676393",,,,,"5.0E-4","0.0","BT",,,,,"yes",
"ON-2422","2024-07-15 15:02:05","shriram","[""BATCH_INC_LINEAR""]","[]","2","1000","3500","b1","0.5671447196870926",,,,,,"0.649867374005305","5.0E-4","0.0","BT",,,,,"yes",
"ON-2421","2024-07-15 15:02:00","shriram","[""BATCH_INC_LINEAR""]","[]","1","1000","3500","b1","0.5919165580182529",,,,,,"0.6526856763925729","5.0E-4","1.0","BT",,,,,"yes",
"ON-2414","2024-07-15 15:01:21","shriram","[""BATCH_INC_LINEAR""]","[]","0","1000","2500","b1","0.5717079530638852",,,,"0.6248342175066313",,,"5.0E-4","0.0","BT",,,,,"yes",
"ON-2409","2024-07-15 15:00:54","shriram","[""BATCH_INC_LINEAR""]","[]","0","1000","3000","b1","0.5860495436766623",,,,,"0.6450596816976127",,"5.0E-4","1.0","BT",,,,,"yes",
"ON-2407","2024-07-15 15:00:45","shriram","[""BATCH_INC_LINEAR""]","[]","2","1000","2000","b1","0.5534550195567145",,,"0.6085875331564987",,,,"5.0E-4","0.0","BT",,,,,"yes",
"ON-2406","2024-07-15 15:00:41","shriram","[""BATCH_INC_LINEAR""]","[]","1","1000","3000","b1","0.5580182529335072",,,,,"0.6357758620689655",,"5.0E-4","0.0","BT",,,,,"yes",
"ON-2404","2024-07-15 15:00:31","shriram","[""BATCH_INC_LINEAR""]","[]","1","1000","2500","b1","0.5697522816166884",,,,"0.6319628647214854",,,"5.0E-4","1.0","BT",,,,,"yes",
"ON-2394","2024-07-15 14:59:38","shriram","[""BATCH_INC_LINEAR""]","[]","2","1000","1500","b1","0.5619295958279009",,"0.6006299734748011",,,,,"5.0E-4","1.0","BT",,,,,"yes",
"ON-2390","2024-07-15 14:59:17","shriram","[""BATCH_INC_LINEAR""]","[]","2","1000","2500","b1","0.5691003911342895",,,,"0.6304708222811671",,,"5.0E-4","1.0","BT",,,,,"yes",
"ON-2388","2024-07-15 14:59:07","shriram","[""BATCH_INC_LINEAR""]","[]","1","1000","1000","b1","0.5664928292046936","0.5895225464190982",,,,,,"5.0E-4","1.0","BT",,,,,"yes",
