Id,Creation Time,Owner,Tags,Group Tags,args/seed,args/retrain_freq,args/budget,args/strategy,test/test_gold_acc (last),online/1000-gold_0 (average),online/1500-gold_0 (average),online/2000-gold_0 (average),online/2500-gold_0 (average),online/3000-gold_0 (average),online/3500-gold_0 (average),args/learning_rate,args/buffer_percent,args/buffer_policy_parameter,train/total_flops,train/total_time_elapsed,train/total_flops (last),train/total_time_elapsed (last),args/incremental,args/ewc
ON-5584,12/08/2024 10:45,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",1,1000,2000,CS,0.589308996,,,0.63295756,,,,5.00E-04,0.5,random,,,3.23E+15,1074.84604,yes,no
ON-5583,12/08/2024 10:45,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",2,1000,3500,EN,0.618644068,,,,,,0.671584881,5.00E-04,0.5,random,,,9.58E+15,3993.565465,yes,no
ON-5578,12/08/2024 10:44,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",0,1000,1500,CS,0.591264668,,0.61438992,,,,,5.00E-04,0.5,random,,,1.99E+15,690.996187,yes,no
ON-5576,12/08/2024 10:44,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",2,1000,1500,CS,0.584093872,,0.623342175,,,,,5.00E-04,0.5,random,,,1.92E+15,709.1489141,yes,no
ON-5564,12/08/2024 10:43,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",0,1000,3000,MV,0.625814863,,,,,0.662135279,,5.00E-04,0.5,random,,,7.68E+15,2979.25134,yes,no
ON-5559,12/08/2024 10:43,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",2,1000,1500,MV,0.617992177,,0.639920424,,,,,5.00E-04,0.5,random,,,3.38E+15,1196.073259,yes,no
ON-5558,12/08/2024 10:43,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",0,1000,1500,EN,0.601694915,,0.641080902,,,,,5.00E-04,0.5,random,,,3.39E+15,1308.678767,yes,no
ON-5554,12/08/2024 10:42,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",1,1000,3500,CS,0.627770535,,,,,,0.670590186,5.00E-04,0.5,random,,,6.60E+15,2409.920129,yes,no
ON-5548,12/08/2024 10:42,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",1,1000,1000,EN,0.583441982,0.614058355,,,,,,5.00E-04,0.5,random,,,1.54E+15,630.8197994,yes,no
ON-5545,12/08/2024 10:42,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",2,1000,1000,MV,0.60821382,0.628149867,,,,,,5.00E-04,0.5,random,,,1.93E+15,804.518615,yes,no
