"Id","Creation Time","Owner","Tags","Group Tags","args/seed","args/retrain_freq","args/budget","args/strategy","test/test_gold_acc (last)","online/1000-gold_0 (average)","online/1500-gold_0 (average)","online/2000-gold_0 (average)","online/2500-gold_0 (average)","online/3000-gold_0 (average)","online/3500-gold_0 (average)","args/learning_rate","args/buffer_percent","args/buffer_policy_parameter","train/total_flops","train/total_time_elapsed","train/total_flops (last)","train/total_time_elapsed (last)","args/incremental","args/ewc"
"ON-2947","2024-07-17 14:17:20","shriram","[""BATCH_INC_LINEAR""]","[""BP_rf100"",""rf100""]","2","100","2500","b1","0.5834419817470665",,,,"0.6311339522546419",,,"5.0E-4","0.0","default",,,,,"yes",
"ON-2946","2024-07-17 14:17:13","shriram","[""BATCH_INC_LINEAR""]","[""BP_rf100"",""rf100""]","0","100","2500","b1","0.5691003911342895",,,,"0.6193633952254642",,,"5.0E-4","0.0","default",,,,,"yes",
"ON-2914","2024-07-17 14:13:46","shriram","[""BATCH_INC_LINEAR""]","[""BP_rf100"",""rf100""]","1","100","2000","b1","0.5632333767926988",,,"0.6105769230769231",,,,"5.0E-4","0.0","default",,,,,"yes",
"ON-2871","2024-07-17 14:09:06","shriram","[""BATCH_INC_LINEAR""]","[""BP_rf100"",""rf100""]","1","100","2500","b1","0.575619295958279",,,,"0.6269893899204244",,,"5.0E-4","0.0","default",,,,,"yes",
"ON-2847","2024-07-17 14:06:29","shriram","[""BATCH_INC_LINEAR""]","[""BP_rf100"",""rf100""]","1","100","1500","b1","0.5482398956975228",,"0.5880305039787799",,,,,"5.0E-4","0.0","default",,,,,"yes",
"ON-2844","2024-07-17 14:06:09","shriram","[""BATCH_INC_LINEAR""]","[""BP_rf100"",""rf100""]","0","100","3500","b1","0.5827900912646675",,,,,,"0.6472148541114059","5.0E-4","0.0","default",,,,,"yes",
"ON-2823","2024-07-17 14:03:49","shriram","[""BATCH_INC_LINEAR""]","[""BP_rf100"",""rf100""]","0","100","1500","b1","0.5671447196870926",,"0.6070954907161804",,,,,"5.0E-4","0.0","default",,,,,"yes",
"ON-2804","2024-07-17 14:01:16","shriram","[""BATCH_INC_LINEAR""]","[""BP_rf100"",""rf100""]","2","100","1500","b1","0.5508474576271186",,"0.5976458885941645",,,,,"5.0E-4","0.0","default",,,,,"yes",
"ON-2793","2024-07-17 13:59:27","shriram","[""BATCH_INC_LINEAR""]","[""BP_rf100"",""rf100""]","1","100","1000","b1","0.5560625814863103","0.5795755968169761",,,,,,"5.0E-4","0.0","default",,,,,"yes",
"ON-2779","2024-07-17 13:57:21","shriram","[""BATCH_INC_LINEAR""]","[""BP_rf100"",""rf100""]","2","100","1000","b1","0.5449804432855281","0.5752652519893899",,,,,,"5.0E-4","0.0","default",,,,,"yes",
