"Id","Creation Time","Owner","Tags","Group Tags","args/seed","args/retrain_freq","args/budget","args/strategy","test/test_gold_acc (last)","online/1000-gold_0 (average)","online/1500-gold_0 (average)","online/2000-gold_0 (average)","online/2500-gold_0 (average)","online/3000-gold_0 (average)","online/3500-gold_0 (average)","args/learning_rate","args/buffer_percent","args/buffer_policy_parameter","train/total_flops","train/total_time_elapsed","train/total_flops (last)","train/total_time_elapsed (last)","args/incremental","args/ewc","args/ewc_lambda"
"ON-5574","2024-08-12 10:44:27","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","1","1000","2000","BT","0.5821382007822686",,,"0.6490384615384616",,,,"5.0E-4","0.0","default",,,"1.92125863982736E15","807.2170991897583","yes","yes","0.8"
"ON-5567","2024-08-12 10:43:55","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","2","1000","1000","BT","0.5671447196870926","0.6075928381962865",,,,,,"5.0E-4","0.0","default",,,"9.09208938852E14","367.9949793815613","yes","yes","0.8"
"ON-5555","2024-08-12 10:42:59","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","0","1000","3500","BT","0.5860495436766623",,,,,,"0.6904840848806366","5.0E-4","0.0","default",,,"3.4905069485664E15","1445.1407997608185","yes","yes","0.8"
"ON-5549","2024-08-12 10:42:28","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","2","1000","3000","BT","0.6075619295958279",,,,,"0.6818633952254642",,"5.0E-4","0.0","default",,,"2.80169649220944E15","1196.3224143981934","yes","yes","0.8"
"ON-5546","2024-08-12 10:42:11","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","0","1000","3500","b1","0.6049543676662321",,,,,,"0.6647877984084881","5.0E-4","0.0","default",,,"2.90181907607808E15","1183.0596606731415","yes","yes","0.8"
"ON-5536","2024-08-12 10:41:21","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","2","1000","3500","BT","0.6101694915254238",,,,,,"0.690815649867374","5.0E-4","0.0","default",,,"2.93691957466464E15","1215.6254103183746","yes","yes","0.8"
"ON-5523","2024-08-12 10:40:10","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","1","1000","1000","BT","0.5801825293350718","0.6122347480106101",,,,,,"5.0E-4","0.0","default",,,"9.6429299992032E14","422.71974778175354","yes","yes","0.8"
"ON-5522","2024-08-12 10:40:03","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","0","1000","3000","BT","0.6088657105606258",,,,,"0.6821949602122016",,"5.0E-4","0.0","default",,,"2.51901788325792E15","1076.305810213089","yes","yes","0.8"
"ON-5509","2024-08-12 10:39:03","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","1","1000","3000","BT","0.6134289439374185",,,,,"0.6802055702917772",,"5.0E-4","0.0","default",,,"2.96000256844704E15","1237.560619354248","yes","yes","0.8"
"ON-5508","2024-08-12 10:38:57","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","0","1000","2000","BT","0.5853976531942634",,,"0.6455570291777188",,,,"5.0E-4","0.0","default",,,"1.4186234231784E15","636.527500629425","yes","yes","0.8"
"ON-5501","2024-08-12 10:38:24","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","2","1000","1500","b1","0.5736636245110821",,"0.6105769230769231",,,,,"5.0E-4","0.0","default",,,"1.03599691276704E15","382.4005401134491","yes","yes","0.8"
"ON-5500","2024-08-12 10:38:19","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","1","1000","2500","b1","0.5925684485006519",,,,"0.6347811671087533",,,"5.0E-4","0.0","default",,,"1.84607302166544E15","787.4001944065094","yes","yes","0.8"
"ON-5498","2024-08-12 10:38:09","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","2","1000","2000","b1","0.6140808344198174",,,"0.6473806366047745",,,,"5.0E-4","0.0","default",,,"1.71556972907088E15","686.4417276382446","yes","yes","0.8"
"ON-5497","2024-08-12 10:38:05","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","0","1000","1000","BT","0.5919165580182529","0.6160477453580901",,,,,,"5.0E-4","0.0","default",,,"1.0282522366224E15","413.79560923576355","yes","yes","0.8"
"ON-5495","2024-08-12 10:37:55","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","0","1000","2500","BT","0.5893089960886571",,,,"0.6623010610079576",,,"5.0E-4","0.0","default",,,"2.0616662912208E15","888.2946593761444","yes","yes","0.8"
"ON-5485","2024-08-12 10:37:00","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","0","1000","2500","b1","0.6049543676662321",,,,"0.6409151193633952",,,"5.0E-4","0.0","default",,,"2.61546414970128E15","1106.0115780830383","yes","yes","0.8"
"ON-5481","2024-08-12 10:36:37","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","1","1000","1000","b1","0.5893089960886571","0.6097480106100795",,,,,,"5.0E-4","0.0","default",,,"7.7650315072992E14","280.4256272315979","yes","yes","0.8"
"ON-5480","2024-08-12 10:36:32","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","2","1000","2000","BT","0.5971316818774446",,,"0.6550066312997348",,,,"5.0E-4","0.0","default",,,"1.61210791835424E15","633.426421880722","yes","yes","0.8"
"ON-5462","2024-08-12 10:35:08","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","2","1000","3000","b1","0.5964797913950456",,,,,"0.6515251989389921",,"5.0E-4","0.0","default",,,"2.64373158187104E15","1071.867220401764","yes","yes","0.8"
"ON-5455","2024-08-12 10:34:34","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","2","1000","2500","BT","0.5919165580182529",,,,"0.6632957559681698",,,"5.0E-4","0.0","default",,,"2.34769340809536E15","952.3907523155212","yes","yes","0.8"
"ON-5448","2024-08-12 10:34:00","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","1","1000","3500","BT","0.6108213820078227",,,,,,"0.6878315649867374","5.0E-4","0.0","default",,,"3.73080985074288E15","1631.8490099906921","yes","yes","0.8"
"ON-5447","2024-08-12 10:33:55","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","0","1000","1000","b1","0.5801825293350718","0.590683023872679",,,,,,"5.0E-4","0.0","default",,,"1.18906861813536E15","489.6968038082123","yes","yes","0.8"
