"Id","Creation Time","Owner","Tags","Group Tags","args/seed","args/retrain_freq","args/budget","args/strategy","test/test_gold_acc (last)","online/1000-gold_0 (average)","online/1500-gold_0 (average)","online/2000-gold_0 (average)","online/2500-gold_0 (average)","online/3000-gold_0 (average)","online/3500-gold_0 (average)","args/learning_rate","args/buffer_percent","args/buffer_policy_parameter","train/total_flops","train/total_time_elapsed","train/total_flops (last)","train/total_time_elapsed (last)","args/incremental","args/ewc","args/ewc_lambda"
"ON-5206","2024-08-10 23:14:44","shriram","[""BATCH_INC_LINEAR""]","[]","1","1000","3500","BT","0.6284224250325945",,,,,,"0.6901525198938993","5.0E-4","0.25","random",,,"6.17331177E15","2264.9179124832153","yes","no","0.4"
"ON-5205","2024-08-10 23:14:38","shriram","[""BATCH_INC_LINEAR""]","[]","0","1000","1500","b1","0.5997392438070405",,"0.6238395225464191",,,,,"5.0E-4","0.75","random",,,"2.70488028E15","1288.3108496665955","yes","no","0.4"
"ON-5203","2024-08-10 23:14:24","shriram","[""BATCH_INC_LINEAR""]","[]","2","1000","3500","b1","0.6238591916558018",,,,,,"0.6727453580901857","5.0E-4","0.75","random",,,"9.62629074E15","3341.5124881267548","yes","no","0.4"
"ON-5202","2024-08-10 23:14:00","shriram","[""BATCH_INC_LINEAR""]","[]","1","1000","1500","b1","0.5977835723598436",,"0.6213527851458885",,,,,"5.0E-4","0.75","random",,,"2.15010234E15","752.5404510498047","yes","no","0.4"
"ON-5201","2024-08-10 23:13:53","shriram","[""BATCH_INC_LINEAR""]","[]","0","1000","3500","b1","0.6029986962190352",,,,,,"0.6594827586206896","5.0E-4","0.25","random",,,"4.86436923E15","1780.0125455856323","yes","no","0.4"
"ON-5200","2024-08-10 23:13:47","shriram","[""BATCH_INC_LINEAR""]","[]","1","1000","3000","BT","0.6277705345501956",,,,,"0.6845159151193634",,"5.0E-4","0.5","random",,,"8.5740468E15","3241.9657275676727","yes","no","0.4"
"ON-5199","2024-08-10 23:13:19","shriram","[""BATCH_INC_LINEAR""]","[]","1","1000","1000","BT","0.5801825293350718","0.6009615384615384",,,,,,"5.0E-4","0.25","random",,,"9.5883957E14","346.1649830341339","yes","no","0.4"
"ON-5198","2024-08-10 23:13:12","shriram","[""BATCH_INC_LINEAR""]","[]","1","1000","2500","b1","0.6010430247718384",,,,"0.6442307692307693",,,"5.0E-4","0.25","random",,,"3.58418385E15","1326.7655704021454","yes","no","0.4"
"ON-5196","2024-08-10 23:12:59","shriram","[""BATCH_INC_LINEAR""]","[]","1","1000","2000","b1","0.6160365058670143",,,"0.6405835543766578",,,,"5.0E-4","0.5","random",,,"4.15299033E15","1517.64666223526","yes","no","0.4"
"ON-5195","2024-08-10 23:12:32","shriram","[""BATCH_INC_LINEAR""]","[]","0","1000","2500","b1","0.6088657105606258",,,,"0.6430702917771883",,,"5.0E-4","0.25","random",,,"4.11916383E15","1552.0579476356506","yes","no","0.4"
