Id,Creation Time,Owner,Tags,Group Tags,args/seed,args/retrain_freq,args/budget,args/strategy,test/test_gold_acc (last),online/1000-gold_0 (average),online/1500-gold_0 (average),online/2000-gold_0 (average),online/2500-gold_0 (average),online/3000-gold_0 (average),online/3500-gold_0 (average),args/learning_rate,args/buffer_percent,args/buffer_policy_parameter,train/total_flops,train/total_time_elapsed,train/total_flops (last),train/total_time_elapsed (last),args/incremental,args/ewc
ON-5205,10-08-2024 23:14,shriram,"[""BATCH_INC_LINEAR""]",[],0,1000,1500,b1,0.5997392438070405,,0.6238395225464191,,,,,5.0E-4,0.75,random,,,2.70488028E15,1288.3108496665955,yes,no
ON-5203,10-08-2024 23:14,shriram,"[""BATCH_INC_LINEAR""]",[],2,1000,3500,b1,0.6238591916558018,,,,,,0.6727453580901857,5.0E-4,0.75,random,,,9.62629074E15,3341.5124881267548,yes,no
ON-5202,10-08-2024 23:14,shriram,"[""BATCH_INC_LINEAR""]",[],1,1000,1500,b1,0.5977835723598436,,0.6213527851458885,,,,,5.0E-4,0.75,random,,,2.15010234E15,752.5404510498047,yes,no
ON-5201,10-08-2024 23:13,shriram,"[""BATCH_INC_LINEAR""]",[],0,1000,3500,b1,0.6029986962190352,,,,,,0.6594827586206896,5.0E-4,0.25,random,,,4.86436923E15,1780.0125455856323,yes,no
ON-5198,10-08-2024 23:13,shriram,"[""BATCH_INC_LINEAR""]",[],1,1000,2500,b1,0.6010430247718384,,,,0.6442307692307693,,,5.0E-4,0.25,random,,,3.58418385E15,1326.7655704021454,yes,no
ON-5196,10-08-2024 23:12,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",1,1000,2000,b1,0.6160365058670143,,,0.6405835543766578,,,,5.0E-4,0.5,random,,,4.15299033E15,1517.646662,yes,no
ON-5195,10-08-2024 23:12,shriram,"[""BATCH_INC_LINEAR""]",[],0,1000,2500,b1,0.6088657105606258,,,,0.6430702917771883,,,5.0E-4,0.25,random,,,4.11916383E15,1552.0579476356506,yes,no
ON-5193,10-08-2024 23:12,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",0,1000,1500,b1,0.5860495436766623,,0.6208554376657824,,,,,5.0E-4,0.5,random,,,1.79631525E15,644.2961449623108,yes,no
ON-5190,10-08-2024 23:12,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",1,1000,3000,b1,0.6303780964797914,,,,,0.6578249336870027,,5.0E-4,0.5,random,,,5.13089418E15,1949.1454012393951,yes,no
ON-5189,10-08-2024 23:11,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",0,1000,2500,b1,0.6140808344198174,,,,0.6435676392572944,,,5.0E-4,0.5,random,,,4.33662192E15,1667.1165585517883,yes,no
ON-5187,10-08-2024 23:11,shriram,"[""BATCH_INC_LINEAR""]",[],0,1000,1500,b1,0.5919165580182529,,0.6173740053050398,,,,,5.0E-4,0.25,random,,,1.59093249E15,585.9359350204468,yes,no
ON-5185,10-08-2024 23:11,shriram,"[""BATCH_INC_LINEAR""]",[],2,1000,1000,b1,0.5684485006518905,0.595656499,,,,,,5.0E-4,0.75,random,,,1.35904227E15,468.4176173210144,yes,no
ON-5177,10-08-2024 23:09,shriram,"[""BATCH_INC_LINEAR""]",[],1,1000,1000,b1,0.5886571056062582,0.613395225,,,,,,5.0E-4,0.25,random,,,9.3030456E14,348.4811747074127,yes,no
ON-5176,10-08-2024 23:08,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",2,1000,3000,b1,0.62125163,,,,,0.6695954907161804,,5.0E-4,0.5,random,,,6.44988711E15,2256.172993183136,yes,no
ON-5174,10-08-2024 23:08,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",1,1000,3500,b1,0.6245110821382008,,,,,,0.666445623,5.0E-4,0.5,random,,,7.34191083E15,2623.083298444748,yes,no
ON-5169,10-08-2024 23:06,shriram,"[""BATCH_INC_LINEAR""]",[],0,1000,3000,b1,0.6205997392438071,,,,,0.656001326,,5.0E-4,0.25,random,,,5.24277318E15,1943.5624704360962,yes,no
ON-5164,10-08-2024 23:04,shriram,"[""BATCH_INC_LINEAR""]",[],0,1000,3500,b1,0.6232073011734028,,,,,,0.6647877984084881,5.0E-4,0.75,random,,,6.44700588E15,2370.1898877620697,yes,no
ON-5163,10-08-2024 23:04,shriram,"[""BATCH_INC_LINEAR""]",[],2,1000,2000,b1,0.5743155149934811,,,0.6248342175066313,,,,5.0E-4,0.25,random,,,1.91418909E15,693.1008040904999,yes,no
ON-5161,10-08-2024 23:04,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",0,1000,1000,b1,0.5873533246414603,0.6022877984084881,,,,,,5.0E-4,0.5,random,,,1.52931003E15,726.3791895,yes,no
ON-5160,10-08-2024 23:03,shriram,"[""BATCH_INC_LINEAR""]",[],1,1000,1000,b1,0.5853976531942634,0.6109084880636605,,,,,,5.0E-4,0.75,random,,,2.07622707E15,784.4384632110596,yes,no
ON-5159,10-08-2024 23:03,shriram,"[""BATCH_INC_LINEAR""]",[],1,1000,2000,b1,0.6082138200782269,,,0.6384283819628647,,,,5.0E-4,0.75,random,,,4.63373913E15,1593.3337094783783,yes,no
ON-5157,10-08-2024 23:03,shriram,"[""BATCH_INC_LINEAR""]",[],1,1000,3000,b1,0.6192959582790091,,,,,0.6578249336870027,,5.0E-4,0.75,random,,,6.31975086E15,2290.806278705597,yes,no
ON-5156,10-08-2024 23:02,shriram,"[""BATCH_INC_LINEAR""]",[],0,1000,1000,b1,0.5834419817470665,0.603945623,,,,,,5.0E-4,0.75,random,,,1.79342163E15,651.6928093,yes,no
ON-5155,10-08-2024 23:02,shriram,"[""BATCH_INC_LINEAR""]",[],0,1000,2000,b1,0.6108213820078227,,,0.6334549071618037,,,,5.0E-4,0.25,random,,,2.7968502E15,1061.1097180843353,yes,no
ON-5154,10-08-2024 23:02,shriram,"[""BATCH_INC_LINEAR""]",[],0,1000,2500,b1,0.6134289439374185,,,,0.6442307692307693,,,5.0E-4,0.75,random,,,5.58222849E15,1967.8300371170044,yes,no
ON-5148,10-08-2024 23:00,shriram,"[""BATCH_INC_LINEAR""]",[],2,1000,2500,b1,0.6147327249022164,,,,0.656001326,,,5.0E-4,0.75,random,,,5.67535338E15,2063.677913427353,yes,no
ON-5146,10-08-2024 22:59,shriram,"[""BATCH_INC_LINEAR""]",[],2,1000,3000,b1,0.6166883963494133,,,,,0.6634615384615384,,5.0E-4,0.25,random,,,5.30705145E15,1830.1580996513367,yes,no
ON-5144,10-08-2024 22:59,shriram,"[""BATCH_INC_LINEAR""]",[],2,1000,1000,b1,0.5736636245110821,0.5959880636604774,,,,,,5.0E-4,0.25,random,,,1.1971617E15,398.7067561149597,yes,no
ON-5143,10-08-2024 22:59,shriram,"[""BATCH_INC_LINEAR""]",[],1,1000,3500,b1,0.6160365058670143,,,,,,0.6629641909814323,5.0E-4,0.75,random,,,7.44879441E15,2692.6612951755524,yes,no
