Id,Creation Time,Owner,Tags,Group Tags,args/seed,args/retrain_freq,args/budget,args/strategy,test/test_gold_acc (last),online/1000-gold_0 (average),online/1500-gold_0 (average),online/2000-gold_0 (average),online/2500-gold_0 (average),online/3000-gold_0 (average),online/3500-gold_0 (average),args/learning_rate,args/buffer_percent,args/buffer_policy_parameter,train/total_flops,train/total_time_elapsed,train/total_flops (last),train/total_time_elapsed (last),args/incremental,args/ewc
ON-4917,08-08-2024 17:01,shriram,"[""BATCH_INC_LINEAR""]",[],0,100,2500,BT,0.590612777,,,,0.6632957559681698,,,5.0E-4,0,default,,,1.72691685670848E15,936.9531402587891,yes,yes
ON-4916,08-08-2024 17:01,shriram,"[""BATCH_INC_LINEAR""]",[],0,100,1500,BT,0.5658409387222947,,0.6228448275862069,,,,,5.0E-4,0,default,,,1.07108439E15,534.3470566272736,yes,no
ON-4915,08-08-2024 17:01,shriram,"[""BATCH_INC_LINEAR""]",[],2,100,2500,BT,0.5834419817470665,,,,0.6631299734748011,,,5.0E-4,0,default,,,1.61983282067664E15,905.6626384,yes,yes
ON-4914,08-08-2024 17:01,shriram,"[""BATCH_INC_LINEAR""]",[],1,100,2000,BT,0.5984354628422425,,,0.6530172413793104,,,,5.0E-4,0,default,,,1.3990184844192E15,804.0576231479645,yes,yes
ON-4910,08-08-2024 17:00,shriram,"[""BATCH_INC_LINEAR""]",[],2,100,1000,BT,0.5853976531942634,0.6185344827586207,,,,,,5.0E-4,0,default,,,8.3018091E14,392.54648900032043,yes,no
ON-4909,08-08-2024 17:00,shriram,"[""BATCH_INC_LINEAR""]",[],0,100,2000,BT,,,,0.5863726790450928,,,,5.0E-4,0,default,,,,,yes,no
ON-4908,08-08-2024 17:00,shriram,"[""BATCH_INC_LINEAR""]",[],0,100,1000,BT,0.5880052151238592,0.6150530503978779,,,,,,5.0E-4,0,default,,,7.0687551E14,379.5601327419281,yes,no
ON-4907,08-08-2024 17:00,shriram,"[""BATCH_INC_LINEAR""]",[],0,100,3000,BT,0.6349413298565841,,,,,0.693695652,,5.0E-4,1,default,,,,,no,no
ON-4906,08-08-2024 17:00,shriram,"[""BATCH_INC_LINEAR""]",[],1,100,1500,BT,0.5808344198174706,,0.6352785145888594,,,,,5.0E-4,0,default,,,1.11057097090896E15,671.9454405,yes,yes
ON-4905,08-08-2024 17:00,shriram,"[""BATCH_INC_LINEAR""]",[],0,100,3500,BT,0.6349413298565841,,,,,,0.6936681222707424,5.0E-4,1,default,,,,,no,no
ON-4904,08-08-2024 17:00,shriram,"[""BATCH_INC_LINEAR""]",[],1,100,1000,BT,0.5417209908735332,0.5828912466843501,,,,,,5.0E-4,0,default,,,6.8150241E14,344.1602029800415,yes,no
ON-4903,08-08-2024 17:00,shriram,"[""BATCH_INC_LINEAR""]",[],1,100,1000,BT,0.5586701434159062,0.5999668435013262,,,,,,5.0E-4,0,default,,,7.3705570333104E14,383.63767313957214,yes,yes
ON-4902,08-08-2024 16:59,shriram,"[""BATCH_INC_LINEAR""]",[],0,100,3000,BT,0.5827900912646675,,,,,0.6785477453580901,,5.0E-4,0,default,,,2.03526264E15,1036.7253353595734,yes,no
ON-4900,08-08-2024 16:59,shriram,"[""BATCH_INC_LINEAR""]",[],1,100,1500,BT,0.5951760104302477,,0.6367705570291777,,,,,5.0E-4,0,default,,,1.13364258E15,550.2388048171997,yes,no
ON-4898,08-08-2024 16:59,shriram,"[""BATCH_INC_LINEAR""]",[],0,100,2500,BT,0.6232073011734028,,,,0.6753978779840849,,,5.0E-4,1,default,,,6.086703942E16,22687.575137615204,yes,no
ON-4894,08-08-2024 16:58,shriram,"[""BATCH_INC_LINEAR""]",[],1,100,2000,BT,0.6277705345501956,,,0.6710875331564987,,,,5.0E-4,1,default,,,3.833446644E16,18014.45500588417,yes,no
ON-4893,08-08-2024 16:58,shriram,"[""BATCH_INC_LINEAR""]",[],1,100,3500,BT,0.5932203389830508,,,,,,0.6873342175066313,5.0E-4,0,default,,,2.43331882252128E15,1274.1464874744415,yes,yes
ON-4889,08-08-2024 16:58,shriram,"[""BATCH_INC_LINEAR""]",[],0,100,1500,BT,0.6258148631029987,,0.6500331564986738,,,,,5.0E-4,1,default,,,1.858034478E16,7172.613165378571,yes,no
ON-4888,08-08-2024 16:58,shriram,"[""BATCH_INC_LINEAR""]",[],1,100,1500,BT,0.6082138200782269,,0.6521883289124668,,,,,5.0E-4,1,default,,,2.58350424E16,9841.929755210876,no,no
ON-4887,08-08-2024 16:58,shriram,"[""BATCH_INC_LINEAR""]",[],1,100,2500,BT,0.6108213820078227,,,,0.6760610079575596,,,5.0E-4,1,default,,,5.864270871E16,22787.23252606392,yes,no
ON-4886,08-08-2024 16:57,shriram,"[""BATCH_INC_LINEAR""]",[],1,100,1000,BT,0.6029986962190352,0.6279840848806366,,,,,,5.0E-4,1,default,,,9.66904695E15,4482.850528717041,yes,no
ON-4885,08-08-2024 16:57,shriram,"[""BATCH_INC_LINEAR""]",[],1,100,3500,BT,0.6245110821382008,,,,,,0.6894893899204244,5.0E-4,0,default,,,2.34401937E15,1144.005271911621,yes,no
ON-4884,08-08-2024 16:57,shriram,"[""BATCH_INC_LINEAR""]",[],0,100,2000,BT,0.6323337679269883,,,0.6662798408488063,,,,5.0E-4,1,default,,,4.815613539E16,18056.66825723648,no,no
ON-4883,08-08-2024 16:57,shriram,"[""BATCH_INC_LINEAR""]",[],2,100,3000,BT,0.5977835723598436,,,,,0.6813660477453581,,5.0E-4,0,default,,,1.92572937E15,994.4767806529999,yes,no
ON-4882,08-08-2024 16:57,shriram,"[""BATCH_INC_LINEAR""]",[],1,100,2500,BT,0.5912646675358539,,,,0.6669429708222812,,,5.0E-4,0,default,,,1.74959811E15,849.6666608,yes,no
ON-4881,08-08-2024 16:57,shriram,"[""BATCH_INC_LINEAR""]",[],0,100,3500,BT,0.6421121251629727,,,,,,0.6903183023872679,5.0E-4,1,default,,,7.513362474E16,27396.958661794662,yes,no
ON-4880,08-08-2024 16:57,shriram,"[""BATCH_INC_LINEAR""]",[],2,100,3500,BT,0.6082138200782269,,,,,,0.6918181818181818,5.0E-4,1,default,,,,,no,no
ON-4879,08-08-2024 16:56,shriram,"[""BATCH_INC_LINEAR""]",[],1,100,3000,BT,0.6277705345501956,,,,,0.6935555555555556,,5.0E-4,1,default,,,,,no,no
