Id,Creation Time,Owner,Tags,Group Tags,args/seed,args/retrain_freq,args/budget,args/strategy,test/test_gold_acc (last),online/1000-gold_0 (average),online/1500-gold_0 (average),online/2000-gold_0 (average),online/2500-gold_0 (average),online/3000-gold_0 (average),online/3500-gold_0 (average),args/learning_rate,args/buffer_percent,args/buffer_policy_parameter,train/total_flops,train/total_time_elapsed,train/total_flops (last),train/total_time_elapsed (last),args/incremental,args/ewc
ON-5579,12/08/2024 10:44,shriram,"[""OPENBOOK""]","[""random""]",0,1000,2000,CS,0.65,,,0.726946376,,,,5.00E-04,0.5,random,,,6.57E+15,2023.198094,yes,no
ON-5575,12/08/2024 10:44,shriram,"[""OPENBOOK""]","[""random""]",1,1000,2500,CS,0.646,,,,0.737940319,,,5.00E-04,0.5,random,,,5.39E+15,1670.099355,yes,no
ON-5573,12/08/2024 10:44,shriram,"[""OPENBOOK""]","[""random""]",0,1000,2500,EN,0.638,,,,0.735247925,,,5.00E-04,0.5,random,,,9.80E+15,3047.910596,yes,no
ON-5571,12/08/2024 10:44,shriram,"[""OPENBOOK""]","[""random""]",2,1000,1500,EN,0.654,,0.711240745,,,,,5.00E-04,0.5,random,,,5.03E+15,1519.493854,yes,no
ON-5565,12/08/2024 10:43,shriram,"[""OPENBOOK""]","[""random""]",0,1000,3500,EN,0.648,,,,,,0.769127216,5.00E-04,0.5,random,,,8.65E+15,2599.250032,yes,no
ON-5562,12/08/2024 10:43,shriram,"[""OPENBOOK""]","[""random""]",1,1000,2000,EN,0.656,,,0.742876374,,,,5.00E-04,0.5,random,,,6.15E+15,1946.909046,yes,no
ON-5557,12/08/2024 10:43,shriram,"[""OPENBOOK""]","[""random""]",1,1000,3000,EN,0.662,,,,,0.766883554,,5.00E-04,0.5,random,,,8.82E+15,2659.454929,yes,no
ON-5556,12/08/2024 10:43,shriram,"[""OPENBOOK""]","[""random""]",0,1000,1000,MV,0.64,0.699124972,,,,,,5.00E-04,0.5,random,,,2.28E+15,714.6995337,yes,no
ON-5550,12/08/2024 10:42,shriram,"[""OPENBOOK""]","[""random""]",2,1000,3000,EN,0.666,,,,,0.754094683,,5.00E-04,0.5,random,,,8.11E+15,2479.935729,yes,no
ON-5541,12/08/2024 10:41,shriram,"[""OPENBOOK""]","[""random""]",2,1000,3000,CS,0.68,,,,,0.760376935,,5.00E-04,0.5,random,,,8.62E+15,2714.070125,yes,no
ON-5530,12/08/2024 10:40,shriram,"[""OPENBOOK""]","[""random""]",2,1000,2000,CS,0.646,,,0.720664124,,,,5.00E-04,0.5,random,,,6.30E+15,1865.579988,yes,no
ON-5529,12/08/2024 10:40,shriram,"[""OPENBOOK""]","[""random""]",2,1000,3000,MV,0.656,,,,,0.772268342,,5.00E-04,0.5,random,,,8.08E+15,2835.503847,yes,no
ON-5526,12/08/2024 10:40,shriram,"[""OPENBOOK""]","[""random""]",0,1000,2500,MV,0.69,,,,0.766883554,,,5.00E-04,0.5,random,,,9.54E+15,3078.988936,yes,no
ON-5521,12/08/2024 10:39,shriram,"[""OPENBOOK""]","[""random""]",0,1000,1500,EN,0.65,,0.713708773,,,,,5.00E-04,0.5,random,,,5.94E+15,1765.327608,yes,no
ON-5518,12/08/2024 10:39,shriram,"[""OPENBOOK""]","[""random""]",2,1000,1000,EN,0.642,0.699349338,,,,,,5.00E-04,0.5,random,,,3.12E+15,993.3640943,yes,no
ON-5517,12/08/2024 10:39,shriram,"[""OPENBOOK""]","[""random""]",1,1000,1000,CS,0.632,0.69979807,,,,,,5.00E-04,0.5,random,,,2.29E+15,674.5926642,yes,no
ON-5515,12/08/2024 10:39,shriram,"[""OPENBOOK""]","[""random""]",2,1000,2000,EN,0.65,,,0.722459053,,,,5.00E-04,0.5,random,,,5.57E+15,1710.207651,yes,no
