Id,Creation Time,Owner,Tags,Group Tags,args/seed,args/retrain_freq,args/budget,args/strategy,test/test_gold_acc (last),online/1000-gold_0 (average),online/1500-gold_0 (average),online/2000-gold_0 (average),online/2500-gold_0 (average),online/3000-gold_0 (average),online/3500-gold_0 (average),args/learning_rate,args/buffer_percent,args/buffer_policy_parameter,train/total_flops,train/total_time_elapsed,train/total_flops (last),train/total_time_elapsed (last),args/incremental,args/ewc
ON-5328,11/08/2024 12:45,shriram,"[""OPENBOOK""]","[""random""]",2,1000,1500,b1,0.644,,0.699124972,,,,,5.00E-04,0.5,random,,,4.80E+15,1478.91288,yes,no
ON-5315,11/08/2024 12:43,shriram,"[""OPENBOOK""]","[""random""]",1,1000,2000,b1,0.624,,,0.729190038,,,,5.00E-04,0.5,random,,,4.33E+15,1340.070459,yes,no
ON-5299,11/08/2024 12:41,shriram,"[""OPENBOOK""]","[""random""]",0,1000,3500,b1,0.658,,,,,,0.769800314,5.00E-04,0.5,random,,,1.32E+16,4182.844671,yes,no
ON-5298,11/08/2024 12:41,shriram,"[""OPENBOOK""]","[""random""]",2,1000,3500,b1,0.66,,,,,,0.765312991,5.00E-04,0.5,random,,,9.19E+15,2793.746575,yes,no
ON-5296,11/08/2024 12:41,shriram,"[""OPENBOOK""]","[""random""]",0,1000,1000,b1,0.642,0.681175679,,,,,,5.00E-04,0.5,random,,,4.08E+15,1189.979625,yes,no
ON-5291,11/08/2024 12:41,shriram,"[""OPENBOOK""]","[""random""]",2,1000,3000,b1,0.644,,,,,0.749158627,,5.00E-04,0.5,random,,,6.69E+15,1928.66678,yes,no
ON-5280,11/08/2024 12:39,shriram,"[""OPENBOOK""]","[""random""]",2,1000,2000,b1,0.64,,,0.720664124,,,,5.00E-04,0.5,random,,,4.17E+15,1217.577182,yes,no
ON-5271,11/08/2024 12:38,shriram,"[""OPENBOOK""]","[""random""]",0,1000,3000,b1,0.66,,,,,0.756113978,,5.00E-04,0.5,random,,,7.49E+15,2286.351766,yes,no
ON-5268,11/08/2024 12:38,shriram,"[""OPENBOOK""]","[""random""]",1,1000,3000,b1,0.638,,,,,0.750280458,,5.00E-04,0.5,random,,,6.92E+15,2144.51566,yes,no
ON-5262,11/08/2024 12:38,shriram,"[""OPENBOOK""]","[""random""]",1,1000,3500,b1,0.66,,,,,,0.770922145,5.00E-04,0.5,random,,,8.72E+15,2649.584839,yes,no
ON-5258,11/08/2024 12:37,shriram,"[""OPENBOOK""]","[""random""]",2,1000,1000,b1,0.66,0.686784833,,,,,,5.00E-04,0.5,random,,,1.76E+15,506.3368564,yes,no
ON-5251,11/08/2024 12:36,shriram,"[""OPENBOOK""]","[""random""]",0,1000,2000,b1,0.646,,,0.717747364,,,,5.00E-04,0.5,random,,,4.61E+15,1412.922654,yes,no
ON-5250,11/08/2024 12:36,shriram,"[""OPENBOOK""]","[""random""]",0,1000,1500,b1,0.642,,0.711016379,,,,,5.00E-04,0.5,random,,,4.58E+15,1339.64034,yes,no
ON-5246,11/08/2024 12:35,shriram,"[""OPENBOOK""]","[""random""]",0,1000,2500,b1,0.664,,,,0.737715952,,,5.00E-04,0.5,random,,,7.05E+15,2175.095899,yes,no
ON-5245,11/08/2024 12:35,shriram,"[""OPENBOOK""]","[""random""]",2,1000,2500,b1,0.636,,,,0.733228629,,,5.00E-04,0.5,random,,,5.61E+15,1780.622644,yes,no
ON-5244,11/08/2024 12:35,shriram,"[""OPENBOOK""]","[""random""]",1,1000,1000,b1,0.628,0.694188916,,,,,,5.00E-04,0.5,random,,,2.01E+15,586.1525173,yes,no
ON-5243,11/08/2024 12:35,shriram,"[""OPENBOOK""]","[""random""]",1,1000,2500,b1,0.644,,,,0.737491586,,,5.00E-04,0.5,random,,,4.94E+15,1515.550186,yes,no
ON-5211,11/08/2024 12:31,shriram,"[""OPENBOOK""]","[""random""]",1,1000,1500,b1,0.65,,0.705182858,,,,,5.00E-04,0.5,random,,,2.43E+15,731.2624521,yes,no
ON-3829,01/08/2024 10:12,shriram,"[""OPENBOOK""]","[""ewc""]",1,1000,2500,b1,0.674,,,,0.736369755,,,5.00E-04,0,default,,,3.46E+15,1108.82467,yes,yes
ON-3823,01/08/2024 10:12,shriram,"[""OPENBOOK""]","[""ewc""]",0,1000,1500,b1,0.618,,0.676463989,,,,,5.00E-04,0,default,,,2.60E+15,747.3805873,yes,yes
ON-3818,01/08/2024 10:11,shriram,"[""OPENBOOK""]","[""ewc""]",1,1000,1000,b1,0.578,0.643482163,,,,,,5.00E-04,0,default,,,1.48E+15,427.4232662,yes,yes
ON-3817,01/08/2024 10:11,shriram,"[""OPENBOOK""]","[""ewc""]",0,1000,3000,b1,0.62,,,,,0.754319049,,5.00E-04,0,default,,,5.71E+15,1713.060106,yes,yes
ON-3812,01/08/2024 10:11,shriram,"[""OPENBOOK""]","[""ewc""]",2,1000,1000,b1,0.614,0.663226385,,,,,,5.00E-04,0,default,,,2.30E+15,671.2070556,yes,yes
ON-3795,01/08/2024 10:09,shriram,"[""OPENBOOK""]","[""ewc""]",2,1000,2500,b1,0.642,,,,0.727843841,,,5.00E-04,0,default,,,4.57E+15,1363.103688,yes,yes
ON-3791,01/08/2024 10:09,shriram,"[""OPENBOOK""]","[""ewc""]",1,1000,3000,b1,0.638,,,,,0.748709895,,5.00E-04,0,default,,,4.29E+15,1307.982301,yes,yes
ON-3787,01/08/2024 10:09,shriram,"[""OPENBOOK""]","[""ewc""]",1,1000,1500,b1,0.612,,0.698451873,,,,,5.00E-04,0,default,,,2.26E+15,695.4454303,yes,yes
ON-3782,01/08/2024 10:08,shriram,"[""OPENBOOK""]","[""ewc""]",2,1000,2000,b1,0.632,,,0.705631591,,,,5.00E-04,0,default,,,2.68E+15,800.1133711,yes,yes
ON-3768,01/08/2024 10:07,shriram,"[""OPENBOOK""]","[""ewc""]",2,1000,3000,b1,0.626,,,,,0.740632713,,5.00E-04,0,default,,,4.66E+15,1482.344923,yes,yes
ON-3758,01/08/2024 10:06,shriram,"[""OPENBOOK""]","[""ewc""]",0,1000,1000,b1,0.648,0.671079201,,,,,,5.00E-04,0,default,,,2.04E+15,627.8309402,yes,yes
ON-3756,01/08/2024 10:06,shriram,"[""OPENBOOK""]","[""ewc""]",0,1000,2500,b1,0.642,,,,0.728965672,,,5.00E-04,0,default,,,4.92E+15,1524.686993,yes,yes
ON-3752,01/08/2024 10:06,shriram,"[""OPENBOOK""]","[""ewc""]",0,1000,3500,b1,0.638,,,,,,0.772717074,5.00E-04,0,default,,,6.76E+15,2004.703922,yes,yes
ON-3751,01/08/2024 10:06,shriram,"[""OPENBOOK""]","[""ewc""]",2,1000,1500,b1,0.626,,0.676239623,,,,,5.00E-04,0,default,,,2.96E+15,880.4090979,yes,yes
ON-3747,01/08/2024 10:05,shriram,"[""OPENBOOK""]","[""ewc""]",1,1000,3500,b1,0.664,,,,,,0.766659188,5.00E-04,0,default,,,6.06E+15,1859.627053,yes,yes
ON-3736,01/08/2024 10:04,shriram,"[""OPENBOOK""]","[""ewc""]",1,1000,2000,b1,0.646,,,0.716176801,,,,5.00E-04,0,default,,,3.43E+15,1044.531102,yes,yes
ON-3726,01/08/2024 10:04,shriram,"[""OPENBOOK""]","[""ewc""]",0,1000,2000,b1,0.644,,,0.716176801,,,,5.00E-04,0,default,,,3.87E+15,1237.834722,yes,yes
ON-3725,01/08/2024 10:04,shriram,"[""OPENBOOK""]","[""ewc""]",2,1000,3500,b1,0.656,,,,,,0.76419116,5.00E-04,0,default,,,5.21E+15,1639.90509,yes,yes
ON-3459,26/07/2024 06:36,shriram,"[""OPENBOOK"",""BP_default_eff""]","[""BP_default_eff""]",0,1000,1500,b1,0.626,,0.693740184,,,,,5.00E-04,0,default,,,1.51E+15,454.1636384,yes,no
ON-3456,26/07/2024 06:35,shriram,"[""OPENBOOK"",""BP_default_eff""]","[""BP_default_eff""]",1,1000,3500,b1,0.662,,,,,,0.768454117,5.00E-04,1,default,,,9.92E+15,3229.215403,yes,no
ON-3453,26/07/2024 06:35,shriram,"[""OPENBOOK"",""BP_default_eff""]","[""BP_default_eff""]",0,1000,2500,b1,0.638,,,,0.739286516,,,5.00E-04,1,default,,,7.02E+15,2229.69981,yes,no
ON-3447,26/07/2024 06:35,shriram,"[""OPENBOOK"",""BP_default_eff""]","[""BP_default_eff""]",2,1000,3500,b1,0.65,,,,,,0.761498766,5.00E-04,0,default,,,4.46E+15,1314.776123,yes,no
ON-3436,26/07/2024 06:34,shriram,"[""OPENBOOK"",""BP_default_eff""]","[""BP_default_eff""]",0,1000,1500,b1,0.604,,0.694862015,,,,,5.00E-04,1,default,,,2.74E+15,829.4702866,yes,no
