"Id","Creation Time","Owner","Tags","Group Tags","args/seed","args/retrain_freq","args/budget","args/strategy","test/test_gold_acc (last)","online/1000-gold_0 (average)","online/1500-gold_0 (average)","online/2000-gold_0 (average)","online/2500-gold_0 (average)","online/3000-gold_0 (average)","online/3500-gold_0 (average)","args/learning_rate","args/buffer_percent","args/buffer_policy_parameter","train/total_flops","train/total_time_elapsed","train/total_flops (last)","train/total_time_elapsed (last)","args/incremental","args/ewc"
"ON-6298","2024-08-15 09:55:07","shriram","[""OPENBOOK_LABEL""]","[]","1","1000","3000","b1","0.62",,,,,"0.6538030065066188",,"5.0E-4","1.0","default",,,"9.2503758E15","2811.3279774188995","yes","no"
"ON-6274","2024-08-15 09:52:50","shriram","[""OPENBOOK_LABEL""]","[]","0","1000","3500","b1","0.622",,,,,,"0.7273951088175903","5.0E-4","1.0","default",,,"1.926758073E16","5701.1761083602905","no","no"
"ON-6260","2024-08-15 09:51:31","shriram","[""OPENBOOK_LABEL""]","[]","2","1000","1000","b1","0.484","0.447386134170967",,,,,,"5.0E-4","1.0","default",,,"2.0418363E15","628.7517693042755","yes","no"
"ON-6259","2024-08-15 09:51:28","shriram","[""OPENBOOK_LABEL""]","[]","1","1000","1500","b1","0.43",,"0.3728965671976666",,,,,"5.0E-4","1.0","default",,,"4.93006491E15","1388.6571021080017","no","no"
"ON-6256","2024-08-15 09:51:15","shriram","[""OPENBOOK_LABEL""]","[]","1","1000","3500","BT","0.66",,,,,,"0.7074265200807718","5.0E-4","1.0","default",,,"2.036797104E16","6302.928735733032","no","no"
"ON-6255","2024-08-15 09:51:11","shriram","[""OPENBOOK_LABEL""]","[]","0","1000","2500","b1","0.612",,,,"0.6172313215167152",,,"5.0E-4","1.0","default",,,"6.64465293E15","1902.32137465477","yes","no"
"ON-6254","2024-08-15 09:51:07","shriram","[""OPENBOOK_LABEL""]","[]","0","1000","1500","BT","0.63",,"0.5815571011891407",,,,,"5.0E-4","1.0","default",,,"7.81996689E15","2368.3233320713043","yes","no"
"ON-6245","2024-08-15 09:50:15","shriram","[""OPENBOOK_LABEL""]","[]","2","1000","2500","b1","0.578",,,,"0.5851469598384563",,,"5.0E-4","1.0","default",,,"9.52953276E15","2891.218405723572","no","no"
"ON-6244","2024-08-15 09:50:11","shriram","[""OPENBOOK_LABEL""]","[]","2","1000","1500","BT","0.524",,"0.4072245905317478",,,,,"5.0E-4","1.0","default",,,"8.68539459E15","2589.063283443451","no","no"
"ON-6236","2024-08-15 09:49:27","shriram","[""OPENBOOK_LABEL""]","[]","1","1000","2500","BT","0.674",,,,"0.7101189140677586",,,"5.0E-4","1.0","default",,,"1.132087974E16","3540.823764562607","yes","no"
