"Id","Creation Time","Owner","Tags","Group Tags","args/seed","args/retrain_freq","args/budget","args/strategy","test/test_gold_acc (last)","online/1000-gold_0 (average)","online/1500-gold_0 (average)","online/2000-gold_0 (average)","online/2500-gold_0 (average)","online/3000-gold_0 (average)","online/3500-gold_0 (average)","args/learning_rate","args/buffer_percent","args/buffer_policy_parameter","train/total_flops","train/total_time_elapsed","train/total_flops (last)","train/total_time_elapsed (last)","args/incremental","args/ewc","args/ewc_lambda"
"ON-5332","2024-08-11 12:45:30","shriram","[""OPENBOOK""]","[]","2","1000","2000","BT","0.644",,,"0.7599282028270137",,,,"5.0E-4","0.5","random",,,"5.54492499E15","1626.9692299365997","yes","no","0.4"
"ON-5328","2024-08-11 12:45:05","shriram","[""OPENBOOK""]","[]","2","1000","1500","b1","0.644",,"0.6991249719542293",,,,,"5.0E-4","0.5","random",,,"4.80054201E15","1478.912879705429","yes","no","0.4"
"ON-5320","2024-08-11 12:44:11","shriram","[""OPENBOOK""]","[]","0","1000","1500","BT","0.66",,"0.7395108817590308",,,,,"5.0E-4","0.5","random",,,"4.62575931E15","1436.6237251758575","yes","no","0.4"
"ON-5315","2024-08-11 12:43:35","shriram","[""OPENBOOK""]","[]","1","1000","2000","b1","0.624",,,"0.7291900381422481",,,,"5.0E-4","0.5","random",,,"4.33283358E15","1340.0704588890076","yes","no","0.4"
"ON-5313","2024-08-11 12:43:27","shriram","[""OPENBOOK""]","[]","1","1000","2000","BT","0.664",,,"0.7635180614763294",,,,"5.0E-4","0.5","random",,,"7.80441792E15","2413.5664381980896","yes","no","0.4"
"ON-5306","2024-08-11 12:42:47","shriram","[""OPENBOOK""]","[]","0","1000","2500","BT","0.644",,,,"0.759255104330267",,,"5.0E-4","0.5","random",,,"7.99490073E15","2348.113044500351","yes","no","0.4"
"ON-5299","2024-08-11 12:41:53","shriram","[""OPENBOOK""]","[]","0","1000","3500","b1","0.658",,,,,,"0.7698003141126318","5.0E-4","0.5","random",,,"1.323064347E16","4182.8446707725525","yes","no","0.4"
"ON-5298","2024-08-11 12:41:49","shriram","[""OPENBOOK""]","[]","2","1000","3500","b1","0.66",,,,,,"0.7653129908009872","5.0E-4","0.5","random",,,"9.18853461E15","2793.74657535553","yes","no","0.4"
"ON-5296","2024-08-11 12:41:33","shriram","[""OPENBOOK""]","[]","0","1000","1000","b1","0.642","0.6811756787076508",,,,,,"5.0E-4","0.5","random",,,"4.0833072E15","1189.9796245098114","yes","no","0.4"
"ON-5292","2024-08-11 12:41:08","shriram","[""OPENBOOK""]","[]","0","1000","2000","BT","0.644",,,"0.7419789095804352",,,,"5.0E-4","0.5","random",,,"6.58812609E15","1998.2124528884888","yes","no","0.4"
"ON-5291","2024-08-11 12:41:03","shriram","[""OPENBOOK""]","[]","2","1000","3000","b1","0.644",,,,,"0.7491586268790666",,"5.0E-4","0.5","random",,,"6.69427833E15","1928.6667804718018","yes","no","0.4"
"ON-5290","2024-08-11 12:40:59","shriram","[""OPENBOOK""]","[]","2","1000","1500","BT","0.65",,"0.7469149652232443",,,,,"5.0E-4","0.5","random",,,"5.64981597E15","1737.38427567482","yes","no","0.4"
"ON-5289","2024-08-11 12:40:54","shriram","[""OPENBOOK""]","[]","1","1000","3000","BT","0.66",,,,,"0.778774960735921",,"5.0E-4","0.5","random",,,"9.36530181E15","2914.2189948558807","yes","no","0.4"
"ON-5280","2024-08-11 12:39:58","shriram","[""OPENBOOK""]","[]","2","1000","2000","b1","0.64",,,"0.7206641238501234",,,,"5.0E-4","0.5","random",,,"4.17219183E15","1217.5771822929382","yes","no","0.4"
"ON-5278","2024-08-11 12:39:44","shriram","[""OPENBOOK""]","[]","2","1000","1000","BT","0.654","0.7224590531747812",,,,,,"5.0E-4","0.5","random",,,"4.29163701E15","1287.324916601181","yes","no","0.4"
"ON-5276","2024-08-11 12:39:29","shriram","[""OPENBOOK""]","[]","1","1000","3500","BT","0.64",,,,,,"0.7857303118689701","5.0E-4","0.5","random",,,"1.155538605E16","3528.0736088752747","yes","no","0.4"
"ON-5275","2024-08-11 12:39:25","shriram","[""OPENBOOK""]","[]","2","1000","3500","BT","0.652",,,,,,"0.78169172088849","5.0E-4","0.5","random",,,"8.87482659E15","2556.4480459690094","yes","no","0.4"
"ON-5271","2024-08-11 12:38:54","shriram","[""OPENBOOK""]","[]","0","1000","3000","b1","0.66",,,,,"0.7561139780121158",,"5.0E-4","0.5","random",,,"7.49436366E15","2286.3517661094666","yes","no","0.4"
"ON-5269","2024-08-11 12:38:43","shriram","[""OPENBOOK""]","[]","1","1000","2500","BT","0.662",,,,"0.7715952434372897",,,"5.0E-4","0.5","random",,,"8.02117062E15","2437.566113471985","yes","no","0.4"
