Id,Creation Time,Owner,Tags,Group Tags,args/seed,args/retrain_freq,args/budget,args/strategy,test/test_gold_acc (last),online/1000-gold_0 (average),online/1500-gold_0 (average),online/2000-gold_0 (average),online/2500-gold_0 (average),online/3000-gold_0 (average),online/3500-gold_0 (average),args/learning_rate,args/buffer_percent,args/buffer_policy_parameter,train/total_flops,train/total_time_elapsed,train/total_flops (last),train/total_time_elapsed (last),args/incremental,args/ewc
ON-5018,10-08-2024 00:33,shriram,"[""OPENBOOK""]",[],1,100,2500,BT,0.664,,,,0.770249046,,,5.00E-04,1,default,,,6.94E+16,22117.52217,yes,no
ON-5016,10-08-2024 00:33,shriram,"[""OPENBOOK""]",[],0,100,2000,BT,0.656,,,0.739735248,,,,5.00E-04,1,default,,,6.58E+16,20661.11879,yes,no
ON-5015,10-08-2024 00:33,shriram,"[""OPENBOOK""]",[],0,100,3500,BT,0.666,,,,,,0.776082567,5.00E-04,1,default,,,8.94E+16,27498.54775,yes,no
ON-5014,10-08-2024 00:32,shriram,"[""OPENBOOK""]",[],2,100,1500,BT,0.652,,0.738837783,,,,,5.00E-04,1,default,,,5.92E+16,24787.83715,yes,no
ON-5001,10-08-2024 00:30,shriram,"[""OPENBOOK""]",[],2,100,2500,BT,0.664,,,,0.746241867,,,5.00E-04,1,default,,,7.06E+16,28585.09694,yes,no
ON-4998,10-08-2024 00:30,shriram,"[""OPENBOOK""]",[],2,100,3500,BT,0.652,,,,,,0.776531299,5.00E-04,1,default,,,9.08E+16,26730.92739,yes,no
ON-4977,10-08-2024 00:27,shriram,"[""OPENBOOK""]",[],1,100,2000,BT,0.672,,,0.75544088,,,,5.00E-04,1,default,,,6.54E+16,20184.44148,yes,no
ON-4972,10-08-2024 00:26,shriram,"[""OPENBOOK""]",[],1,100,1500,BT,0.636,,0.742876374,,,,,5.00E-04,1,default,,,5.51E+16,17953.39323,yes,no
ON-4968,10-08-2024 00:25,shriram,"[""OPENBOOK""]",[],2,100,1000,BT,0.636,0.723132152,,,,,,5.00E-04,1,default,,,4.12E+16,12688.95364,yes,no
ON-4958,10-08-2024 00:23,shriram,"[""OPENBOOK""]",[],0,100,3000,BT,0.66,,,,,0.760152569,,5.00E-04,1,default,,,8.07E+16,24898.98002,yes,no
ON-4953,10-08-2024 00:23,shriram,"[""OPENBOOK""]",[],1,100,3500,BT,0.666,,,,,,0.769642857,5.00E-04,1,default,,,,,yes,no
ON-4950,10-08-2024 00:22,shriram,"[""OPENBOOK""]",[],0,100,1500,BT,0.662,,0.727619475,,,,,5.00E-04,1,default,,,5.55E+16,17476.16004,yes,no
ON-4946,10-08-2024 00:22,shriram,"[""OPENBOOK""]",[],0,100,1000,BT,0.648,0.719317927,,,,,,5.00E-04,1,default,,,3.70E+16,14574.50406,yes,no
ON-4945,10-08-2024 00:21,shriram,"[""OPENBOOK""]",[],1,100,3000,BT,0.662,,,,,0.759642857,,5.00E-04,1,default,,,,,yes,no
ON-4941,10-08-2024 00:21,shriram,"[""OPENBOOK""]",[],2,100,2000,BT,0.686,,,0.746466233,,,,5.00E-04,1,default,,,6.56E+16,19695.36799,yes,no
ON-4931,10-08-2024 00:19,shriram,"[""OPENBOOK""]",[],0,100,2500,BT,0.67,,,,0.75656271,,,5.00E-04,1,default,,,7.40E+16,22285.79581,yes,no
ON-4928,10-08-2024 00:19,shriram,"[""OPENBOOK""]",[],1,100,1000,BT,0.668,0.730984967,,,,,,5.00E-04,1,default,,,3.96E+16,12920.39728,yes,no
ON-4920,10-08-2024 00:17,shriram,"[""OPENBOOK""]",[],2,100,3000,BT,0.656,,,,,0.761723132,,5.00E-04,1,default,,,7.85E+16,23711.73256,yes,no
ON-4918,08-08-2024 17:01,shriram,"[""OPENBOOK""]",[],2,100,2000,BT,0.628,,,0.748709895,,,,5.00E-04,0,default,,,2.94E+15,1075.918173,yes,no
ON-4913,08-08-2024 17:01,shriram,"[""OPENBOOK""]",[],1,100,3000,BT,0.62,,,,,0.777428764,,5.00E-04,0,default,,,3.50E+15,1368.907642,yes,yes
ON-4912,08-08-2024 17:01,shriram,"[""OPENBOOK""]",[],0,100,1500,BT,0.69,,0.751626655,,,,,5.00E-04,0,default,,,1.99E+15,852.215867,yes,yes
ON-4911,08-08-2024 17:00,shriram,"[""OPENBOOK""]",[],0,100,2500,BT,0.636,,,,0.763069329,,,5.00E-04,0,default,,,2.94E+15,1536.312775,yes,no
ON-4899,08-08-2024 16:59,shriram,"[""OPENBOOK""]",[],1,100,1000,BT,0.658,0.714157505,,,,,,5.00E-04,0,default,,,1.88E+15,708.7189484,yes,no
ON-4895,08-08-2024 16:59,shriram,"[""OPENBOOK""]",[],0,100,1000,BT,0.618,0.707650886,,,,,,5.00E-04,0,default,,,1.64E+15,691.2906742,yes,yes
ON-4870,08-08-2024 16:55,shriram,"[""OPENBOOK""]",[],2,100,3000,BT,0.632,,,,,0.761498766,,5.00E-04,0,default,,,3.32E+15,1321.62706,yes,yes
ON-4868,08-08-2024 16:55,shriram,"[""OPENBOOK""]",[],2,100,1500,BT,0.66,,0.732331164,,,,,5.00E-04,0,default,,,2.96E+15,1315.779346,yes,no
ON-4867,08-08-2024 16:55,shriram,"[""OPENBOOK""]",[],2,100,2500,BT,0.636,,,,0.75656271,,,5.00E-04,0,default,,,3.07E+15,1145.996014,yes,no
ON-4865,08-08-2024 16:55,shriram,"[""OPENBOOK""]",[],1,100,2500,BT,0.594,,,,0.773390173,,,5.00E-04,0,default,,,2.84E+15,1138.746628,yes,yes
ON-4864,08-08-2024 16:55,shriram,"[""OPENBOOK""]",[],0,100,3000,BT,0.672,,,,,0.765761723,,5.00E-04,0,default,,,3.35E+15,1242.661803,yes,no
ON-4861,08-08-2024 16:54,shriram,"[""OPENBOOK""]",[],1,100,1500,BT,0.642,,0.748485528,,,,,5.00E-04,0,default,,,2.45E+15,959.0731573,yes,no
ON-4859,08-08-2024 16:54,shriram,"[""OPENBOOK""]",[],0,100,2000,BT,0.656,,,0.743998205,,,,5.00E-04,0,default,,,3.06E+15,1146.483936,yes,no
ON-4850,08-08-2024 16:53,shriram,"[""OPENBOOK""]",[],2,100,2500,BT,0.614,,,,0.762171864,,,5.00E-04,0,default,,,2.93E+15,1445.653243,yes,yes
ON-4845,08-08-2024 16:52,shriram,"[""OPENBOOK""]",[],1,100,1000,BT,0.638,0.72380525,,,,,,5.00E-04,0,default,,,1.81E+15,736.4238489,yes,yes
ON-4844,08-08-2024 16:52,shriram,"[""OPENBOOK""]",[],2,100,3000,BT,0.57,,,,,0.767556652,,5.00E-04,0,default,,,3.29E+15,1194.892428,yes,no
ON-4843,08-08-2024 16:52,shriram,"[""OPENBOOK""]",[],1,100,3000,BT,0.612,,,,,0.77294144,,5.00E-04,0,default,,,3.40E+15,1253.252866,yes,no
ON-4841,08-08-2024 16:52,shriram,"[""OPENBOOK""]",[],0,100,1000,BT,0.642,0.711689477,,,,,,5.00E-04,0,default,,,1.61E+15,646.1505454,yes,no
ON-4840,08-08-2024 16:52,shriram,"[""OPENBOOK""]",[],1,100,2000,BT,0.618,,,0.748485528,,,,5.00E-04,0,default,,,2.86E+15,1357.465816,yes,yes
ON-4839,08-08-2024 16:52,shriram,"[""OPENBOOK""]",[],0,100,2000,BT,0.64,,,0.742427642,,,,5.00E-04,0,default,,,2.78E+15,1092.472002,yes,yes
