"Id","Creation Time","Owner","Tags","Group Tags","args/seed","args/retrain_freq","args/budget","args/strategy","test/test_gold_acc (last)","online/1000-gold_0 (average)","online/1500-gold_0 (average)","online/2000-gold_0 (average)","online/2500-gold_0 (average)","online/3000-gold_0 (average)","online/3500-gold_0 (average)","args/learning_rate","args/buffer_percent","args/buffer_policy_parameter","train/total_flops","train/total_time_elapsed","train/total_flops (last)","train/total_time_elapsed (last)","args/incremental","args/ewc"
"ON-5582","2024-08-12 10:45:08","shriram","[""RT_POLARITY""]","[""random""]","0","1000","2500","EN","0.8771683075480544",,,,"0.8837347253529482",,,"5.0E-4","0.5","random",,,"5.46756951E15","2303.5807342529297","yes","no"
"ON-5581","2024-08-12 10:45:01","shriram","[""RT_POLARITY""]","[""random""]","0","1000","2000","MV","0.8851383028598219",,,"0.888836160873176",,,,"5.0E-4","0.5","random",,,"5.76377409E15","2600.84148311615","yes","no"
"ON-5580","2024-08-12 10:44:54","shriram","[""RT_POLARITY""]","[""random""]","1","1000","1500","EN","0.8870135958743554",,"0.8855142958832601",,,,,"5.0E-4","0.5","random",,,"3.50142513E15","1411.0701858997345","yes","no"
"ON-5568","2024-08-12 10:44:00","shriram","[""RT_POLARITY""]","[""random""]","1","1000","3000","MV","0.8790436005625879",,,,,"0.8891920749792384",,"5.0E-4","0.5","random",,,"6.61467423E15","2725.808565378189","yes","no"
"ON-5560","2024-08-12 10:43:23","shriram","[""RT_POLARITY""]","[""random""]","1","1000","1000","MV","0.8842006563525551","0.8840906394590106",,,,,,"5.0E-4","0.5","random",,,"3.52621968E15","1484.0394794940948","yes","no"
"ON-5553","2024-08-12 10:42:48","shriram","[""RT_POLARITY""]","[""random""]","1","1000","2000","CS","0.8804500703234881",,,"0.8806501364337407",,,,"5.0E-4","0.5","random",,,"3.761655E15","1519.585457086563","yes","no"
"ON-5552","2024-08-12 10:42:41","shriram","[""RT_POLARITY""]","[""random""]","2","1000","3000","EN","0.8884200656352556",,,,,"0.8849211057064895",,"5.0E-4","0.5","random",,,"5.95686204E15","2421.848242521286","yes","no"
"ON-5547","2024-08-12 10:42:16","shriram","[""RT_POLARITY""]","[""random""]","1","1000","3000","EN","0.8912330051570558",,,,,"0.888005694625697",,"5.0E-4","0.5","random",,,"5.84496117E15","2331.9126682281494","yes","no"
"ON-5542","2024-08-12 10:41:52","shriram","[""RT_POLARITY""]","[""random""]","2","1000","3500","EN","0.890295358649789",,,,,,"0.8856329339186143","5.0E-4","0.5","random",,,"6.40183614E15","2645.0648736953735","yes","no"
"ON-5540","2024-08-12 10:41:40","shriram","[""RT_POLARITY""]","[""random""]","1","1000","1500","MV","0.8785747773089545",,"0.8861074860600309",,,,,"5.0E-4","0.5","random",,,"4.03159101E15","1701.2844851016998","yes","no"
"ON-5535","2024-08-12 10:41:14","shriram","[""RT_POLARITY""]","[""random""]","0","1000","3000","MV","0.8818565400843882",,,,,"0.8906157314034879",,"5.0E-4","0.5","random",,,"6.52894074E15","2924.092298746109","yes","no"
"ON-5534","2024-08-12 10:41:06","shriram","[""RT_POLARITY""]","[""random""]","2","1000","2500","MV","0.8860759493670886",,,,"0.8876497805196346",,,"5.0E-4","0.5","random",,,"8.46264903E15","3744.878788948059","yes","no"
"ON-5533","2024-08-12 10:41:00","shriram","[""RT_POLARITY""]","[""random""]","0","1000","1000","CS","0.8823253633380216","0.873887768418555",,,,,,"5.0E-4","0.5","random",,,"8.6263683E14","335.15114092826843","yes","no"
"ON-5531","2024-08-12 10:40:50","shriram","[""RT_POLARITY""]","[""random""]","0","1000","1000","MV","0.8884200656352556","0.8862261240953849",,,,,,"5.0E-4","0.5","random",,,"2.5830882E15","1285.9047493934631","yes","no"
"ON-5528","2024-08-12 10:40:35","shriram","[""RT_POLARITY""]","[""random""]","1","1000","1500","CS","0.8748241912798875",,"0.8778028235852414",,,,,"5.0E-4","0.5","random",,,"1.74913539E15","689.049727678299","yes","no"
"ON-5525","2024-08-12 10:40:20","shriram","[""RT_POLARITY""]","[""random""]","2","1000","3500","MV","0.8846694796061885",,,,,,"0.8885988848024676","5.0E-4","0.5","random",,,"7.85303247E15","3155.557476758957","yes","no"
"ON-5513","2024-08-12 10:39:21","shriram","[""RT_POLARITY""]","[""random""]","0","1000","3500","CS","0.8818565400843882",,,,,,"0.8824297069640527","5.0E-4","0.5","random",,,"5.8938048E15","2338.484743833542","yes","no"
"ON-5493","2024-08-12 10:37:43","shriram","[""RT_POLARITY""]","[""random""]","1","1000","2500","MV","0.8823253633380216",,,,"0.888005694625697",,,"5.0E-4","0.5","random",,,"5.55447873E15","2303.8093087673187","yes","no"
"ON-5492","2024-08-12 10:37:36","shriram","[""RT_POLARITY""]","[""random""]","2","1000","1000","MV","0.882794186591655","0.8791078419741369",,,,,,"5.0E-4","0.5","random",,,"2.08123002E15","843.8011240959167","yes","no"
"ON-5487","2024-08-12 10:37:14","shriram","[""RT_POLARITY""]","[""random""]","2","1000","3500","CS","0.8809188935771214",,,,,,"0.8863447621307391","5.0E-4","0.5","random",,,"6.48883725E15","2501.749592781067","yes","no"
"ON-5486","2024-08-12 10:37:05","shriram","[""RT_POLARITY""]","[""random""]","1","1000","2500","EN","0.8851383028598219",,,,"0.8883616087317594",,,"5.0E-4","0.5","random",,,"4.46991075E15","1787.8074023723602","yes","no"
"ON-5483","2024-08-12 10:36:49","shriram","[""RT_POLARITY""]","[""random""]","2","1000","3000","CS","0.8785747773089545",,,,,"0.8833788112468858",,"5.0E-4","0.5","random",,,"5.19770616E15","2073.077652692795","yes","no"
"ON-5482","2024-08-12 10:36:42","shriram","[""RT_POLARITY""]","[""random""]","0","1000","3500","MV","0.8879512423816222",,,,,,"0.8918021117570293","5.0E-4","0.5","random",,,"7.97028696E15","3327.0104010105133","yes","no"
"ON-5476","2024-08-12 10:36:13","shriram","[""RT_POLARITY""]","[""random""]","0","1000","2500","CS","0.882794186591655",,,,"0.8778028235852414",,,"5.0E-4","0.5","random",,,"3.39631368E15","1363.0365862846375","yes","no"
"ON-5475","2024-08-12 10:36:06","shriram","[""RT_POLARITY""]","[""random""]","1","1000","2000","MV","0.8856071261134553",,,"0.887175228378218",,,,"5.0E-4","0.5","random",,,"5.32003737E15","2134.021425962448","yes","no"
"ON-5471","2024-08-12 10:35:46","shriram","[""RT_POLARITY""]","[""random""]","0","1000","1000","EN","0.886544772620722","0.8801755842923241",,,,,,"5.0E-4","0.5","random",,,"2.95273173E15","1178.808294057846","yes","no"
