"Id","Creation Time","Owner","Tags","Group Tags","args/seed","args/retrain_freq","args/budget","args/strategy","test/test_gold_acc (last)","online/1000-gold_0 (average)","online/1500-gold_0 (average)","online/2000-gold_0 (average)","online/2500-gold_0 (average)","online/3000-gold_0 (average)","online/3500-gold_0 (average)","args/learning_rate","args/buffer_percent","args/buffer_policy_parameter","train/total_flops","train/total_time_elapsed","train/total_flops (last)","train/total_time_elapsed (last)","args/incremental","args/ewc","args/ewc_lambda"
"ON-4901","2024-08-08 16:59:47","shriram","[""RT_POLARITY""]","[]","2","1000","1000","BT","0.8799812470698547","0.8843279155297188",,,,,,"5.0E-4","0.5","default",,,"1.91542146E15","785.0269615650177","yes","no",
"ON-4897","2024-08-08 16:59:19","shriram","[""RT_POLARITY""]","[]","0","1000","1000","BT","0.8762306610407876","0.8773282714438249",,,,,,"5.0E-4","0.5","default",,,"1.10492322E15","443.5814793109894","yes","no",
"ON-4896","2024-08-08 16:59:12","shriram","[""RT_POLARITY""]","[]","2","1000","2000","BT","0.8888888888888888",,,"0.8939375963934038",,,,"5.0E-4","0.5","default",,,"6.27293094E15","2712.946719646454","yes","no",
"ON-4891","2024-08-08 16:58:37","shriram","[""RT_POLARITY""]","[]","1","1000","1500","BT","0.8804500703234881",,"0.8914461976509669",,,,,"5.0E-4","0.5","default",,,"6.17303757E15","2373.870924472809","yes","no",
"ON-4890","2024-08-08 16:58:30","shriram","[""RT_POLARITY""]","[]","0","1000","3000","BT","0.8851383028598219",,,,,"0.8951239767469451",,"5.0E-4","0.5","default",,,"9.82593681E15","3624.0487825870514","yes","no",
"ON-4877","2024-08-08 16:56:40","shriram","[""RT_POLARITY""]","[]","1","1000","3500","BT","0.8813877168307548",,,,,,"0.8963103571004865","5.0E-4","0.5","default",,,"1.005467319E16","3756.28058719635","yes","no",
"ON-4876","2024-08-08 16:56:32","shriram","[""RT_POLARITY""]","[]","0","1000","1500","BT","0.8799812470698547",,"0.8895479890853007",,,,,"5.0E-4","0.5","default",,,"4.88009787E15","2295.903888940811","yes","no",
"ON-4875","2024-08-08 16:56:25","shriram","[""RT_POLARITY""]","[]","0","1000","2500","BT","0.8860759493670886",,,,"0.8940562344287578",,,"5.0E-4","0.5","default",,,"8.24196654E15","3131.2472145557404","yes","no",
"ON-4874","2024-08-08 16:56:18","shriram","[""RT_POLARITY""]","[]","1","1000","2500","BT","0.886544772620722",,,,"0.8942935104994661",,,"5.0E-4","0.5","default",,,"7.5939684E15","2854.2883343696594","yes","no",
"ON-4860","2024-08-08 16:54:43","shriram","[""RT_POLARITY""]","[]","0","1000","2000","BT","0.8893577121425222",,,"0.894174872464112",,,,"5.0E-4","0.5","default",,,"6.12801459E15","2317.6292626857758","yes","no",
"ON-4857","2024-08-08 16:54:22","shriram","[""RT_POLARITY""]","[]","1","1000","2000","BT","0.8813877168307548",,,"0.8921580258630917",,,,"5.0E-4","0.5","default",,,"7.32991215E15","3329.4687678813934","yes","no",
"ON-4851","2024-08-08 16:53:25","shriram","[""RT_POLARITY""]","[]","2","1000","2500","BT","0.8856071261134553",,,,"0.8945307865701744",,,"5.0E-4","0.5","default",,,"8.07850875E15","3043.845427751541","yes","no",
"ON-4846","2024-08-08 16:52:43","shriram","[""RT_POLARITY""]","[]","1","1000","1000","BT","0.882794186591655","0.877446909479179",,,,,,"5.0E-4","0.5","default",,,"1.44612684E15","701.1765739917755","yes","no",
"ON-4838","2024-08-08 16:51:55","shriram","[""RT_POLARITY""]","[]","0","1000","3500","BT","0.8851383028598219",,,,,,"0.8955985288883616","5.0E-4","0.5","default",,,"1.113867798E16","4270.091382980347","yes","no",
"ON-4821","2024-08-08 16:49:51","shriram","[""RT_POLARITY""]","[]","1","1000","3000","BT","0.886544772620722",,,,,"0.8931071301459248",,"5.0E-4","0.5","default",,,"1.061156589E16","4016.6129519939423","yes","no",
"ON-4811","2024-08-08 16:48:30","shriram","[""RT_POLARITY""]","[]","2","1000","3500","BT","0.8813877168307548",,,,,,"0.8938189583580496","5.0E-4","0.5","default",,,"8.21584395E15","3324.109694004059","yes","no",
"ON-4797","2024-08-08 16:46:48","shriram","[""RT_POLARITY""]","[]","2","1000","1500","BT","0.8884200656352556",,"0.8928698540752165",,,,,"5.0E-4","0.5","default",,,"6.26522106E15","2376.3230805397034","yes","no",
"ON-4794","2024-08-08 16:46:26","shriram","[""RT_POLARITY""]","[]","2","1000","3000","BT","0.8884200656352556",,,,,"0.8925139399691541",,"5.0E-4","0.5","default",,,"9.45159045E15","3550.46079826355","yes","no",
