"Id","Creation Time","Owner","Tags","Group Tags","args/seed","args/retrain_freq","args/budget","args/strategy","test/test_gold_acc (last)","online/1000-gold_0 (average)","online/1500-gold_0 (average)","online/2000-gold_0 (average)","online/2500-gold_0 (average)","online/3000-gold_0 (average)","online/3500-gold_0 (average)","args/learning_rate","args/buffer_percent","args/buffer_policy_parameter","train/total_flops","train/total_time_elapsed","train/total_flops (last)","train/total_time_elapsed (last)","args/incremental","args/ewc"
"ON-6297","2024-08-15 09:55:00","shriram","[""RT_POLARITY_LABEL""]","[]","1","1000","2000","b1","0.5021097046413502",,,"0.49578834974492825",,,,"5.0E-4","0.5","random",,,"2.18364828E15","883.5415291786194","yes","no"
"ON-6296","2024-08-15 09:54:53","shriram","[""RT_POLARITY_LABEL""]","[]","2","1000","2000","BT","0.8799812470698547",,,"0.7809941867362676",,,,"5.0E-4","0.5","random",,,"5.40982749E15","2028.0012021064758","yes","no"
"ON-6292","2024-08-15 09:54:34","shriram","[""RT_POLARITY_LABEL""]","[]","2","1000","3000","BT","0.8734177215189873",,,,,"0.7317594020643018",,"5.0E-4","1.0","default",,,"9.6679911E15","3816.648580789566","yes","no"
"ON-6291","2024-08-15 09:54:28","shriram","[""RT_POLARITY_LABEL""]","[]","0","1000","3000","b1","0.5021097046413502",,,,,"0.4950765215328034",,"5.0E-4","1.0","default",,,"4.90253082E15","2010.6463150978088","yes","no"
"ON-6290","2024-08-15 09:54:20","shriram","[""RT_POLARITY_LABEL""]","[]","0","1000","3000","BT","0.8813877168307548",,,,,"0.7611816348321272",,"5.0E-4","1.0","default",,,"7.70371389E15","3256.3864912986755","yes","no"
"ON-6288","2024-08-15 09:54:10","shriram","[""RT_POLARITY_LABEL""]","[]","1","1000","3000","b1","0.5021097046413502",,,,,"0.4949578834974493",,"5.0E-4","0.0","default",,,"1.67999139E15","716.5716090202332","yes","no"
"ON-6286","2024-08-15 09:53:59","shriram","[""RT_POLARITY_LABEL""]","[]","0","1000","3500","BT","0.8593530239099859",,,,,,"0.7773164076402895","5.0E-4","0.5","random",,,"7.87360059E15","3159.077726125717","yes","no"
"ON-6285","2024-08-15 09:53:53","shriram","[""RT_POLARITY_LABEL""]","[]","2","1000","2500","BT","0.49929676511954996",,,,"0.849211057064895",,,"5.0E-4","0.0","default",,,"1.39892418E15","567.9444313049316","yes","no"
"ON-6284","2024-08-15 09:53:46","shriram","[""RT_POLARITY_LABEL""]","[]","0","1000","3500","b1","0.5021097046413502",,,,,,"0.4949578834974493","5.0E-4","0.0","default",,,"1.91713446467136E15","832.3006372451782","yes","yes"
"ON-6282","2024-08-15 09:53:36","shriram","[""RT_POLARITY_LABEL""]","[]","2","1000","3000","b1","0.5021097046413502",,,,,"0.4950765215328034",,"5.0E-4","0.0","default",,,"1.6743086145984E15","713.5882015228271","yes","yes"
"ON-6279","2024-08-15 09:53:22","shriram","[""RT_POLARITY_LABEL""]","[]","0","1000","2500","b1","0.5021097046413502",,,,"0.49555107367421997",,,"5.0E-4","0.5","random",,,"2.60025612E15","1004.3632388114929","yes","no"
"ON-6278","2024-08-15 09:53:15","shriram","[""RT_POLARITY_LABEL""]","[]","2","1000","2500","b1","0.5021097046413502",,,,"0.4949578834974493",,,"5.0E-4","1.0","default",,,"3.01158297E15","1261.5565650463104","yes","no"
"ON-6277","2024-08-15 09:53:09","shriram","[""RT_POLARITY_LABEL""]","[]","0","1000","2000","b1","0.5021097046413502",,,"0.49555107367421997",,,,"5.0E-4","0.0","default",,,"1.11767403E15","465.6183786392212","yes","no"
"ON-6276","2024-08-15 09:53:02","shriram","[""RT_POLARITY_LABEL""]","[]","1","1000","1500","BT","0.8645100796999531",,"0.7184719421046387",,,,,"5.0E-4","1.0","default",,,"4.619256E15","1727.5185091495514","yes","no"
"ON-6275","2024-08-15 09:52:55","shriram","[""RT_POLARITY_LABEL""]","[]","0","1000","2000","BT","0.8884200656352556",,,"0.8098232293273223",,,,"5.0E-4","1.0","default",,,"6.7209849E15","2536.5891375541687","no","no"
"ON-6273","2024-08-15 09:52:43","shriram","[""RT_POLARITY_LABEL""]","[]","1","1000","3000","b1","0.5021097046413502",,,,,"0.4951951595681576",,"5.0E-4","1.0","default",,,"4.85717628E15","1982.5215237140656","no","no"
"ON-6270","2024-08-15 09:52:29","shriram","[""RT_POLARITY_LABEL""]","[]","0","1000","1500","BT","0.8499765588373184",,"0.7522837821805671",,,,,"5.0E-4","1.0","default",,,"3.53712705E15","1350.619517326355","yes","no"
