"Id","Creation Time","Owner","Tags","Group Tags","args/seed","args/retrain_freq","args/budget","args/strategy","test/test_gold_acc (last)","online/1000-gold_0 (average)","online/1500-gold_0 (average)","online/2000-gold_0 (average)","online/2500-gold_0 (average)","online/3000-gold_0 (average)","online/3500-gold_0 (average)","args/learning_rate","args/buffer_percent","args/buffer_policy_parameter","train/total_flops","train/total_time_elapsed","train/total_flops (last)","train/total_time_elapsed (last)","args/incremental","args/ewc","args/ewc_lambda"
"ON-5331","2024-08-11 12:45:24","shriram","[""RT_POLARITY""]","[]","1","1000","3000","b1","0.8818565400843882",,,,,"0.8830228971408234",,"5.0E-4","0.5","random",,,"4.91830569E15","1833.03524184227","yes","no","0.4"
"ON-5330","2024-08-11 12:45:15","shriram","[""RT_POLARITY""]","[]","1","1000","1000","BT","0.8823253633380216","0.88005694625697",,,,,,"5.0E-4","0.5","random",,,"1.29689577E15","490.1168529987335","yes","no","0.4"
"ON-5325","2024-08-11 12:44:43","shriram","[""RT_POLARITY""]","[]","1","1000","2000","BT","0.8818565400843882",,,"0.8923953019338",,,,"5.0E-4","0.5","random",,,"7.19656824E15","2722.2931485176086","yes","no","0.4"
"ON-5323","2024-08-11 12:44:31","shriram","[""RT_POLARITY""]","[]","2","1000","3000","b1","0.8823253633380216",,,,,"0.8833788112468858",,"5.0E-4","0.5","random",,,"4.87212792E15","1943.225338935852","yes","no","0.4"
"ON-5318","2024-08-11 12:43:54","shriram","[""RT_POLARITY""]","[]","2","1000","2000","b1","0.8795124238162213",,,"0.8783960137620122",,,,"5.0E-4","0.5","random",,,"3.2582058E15","1284.521560907364","yes","no","0.4"
"ON-5316","2024-08-11 12:43:41","shriram","[""RT_POLARITY""]","[]","1","1000","1500","BT","0.890295358649789",,"0.8916834737216752",,,,,"5.0E-4","0.5","random",,,"5.50422222E15","2275.3670585155487","yes","no","0.4"
"ON-5310","2024-08-11 12:43:09","shriram","[""RT_POLARITY""]","[]","0","1000","3000","BT","0.8926394749179559",,,,,"0.8952426147822992",,"5.0E-4","0.5","random",,,"9.34139721E15","3537.575867652893","yes","no","0.4"
"ON-5308","2024-08-11 12:42:59","shriram","[""RT_POLARITY""]","[]","0","1000","3500","b1","0.8870135958743554",,,,,,"0.8834974492822398","5.0E-4","0.5","random",,,"6.51047763E15","2458.7223138809204","yes","no","0.4"
"ON-5288","2024-08-11 12:40:47","shriram","[""RT_POLARITY""]","[]","2","1000","2000","BT","0.8898265353961556",,,"0.8957171669237157",,,,"5.0E-4","0.5","random",,,"6.26345505E15","2365.0444169044495","yes","no","0.4"
"ON-5286","2024-08-11 12:40:36","shriram","[""RT_POLARITY""]","[]","1","1000","2000","b1","0.8804500703234881",,,"0.8794637560801993",,,,"5.0E-4","0.5","random",,,"2.77049361E15","1039.659146785736","yes","no","0.4"
