"Id","Creation Time","Owner","Tags","Group Tags","args/seed","args/retrain_freq","args/budget","args/strategy","test/test_gold_acc (last)","online/1000-gold_0 (average)","online/1500-gold_0 (average)","online/2000-gold_0 (average)","online/2500-gold_0 (average)","online/3000-gold_0 (average)","online/3500-gold_0 (average)","args/learning_rate","args/buffer_percent","args/buffer_policy_parameter","train/total_flops","train/total_time_elapsed","train/total_flops (last)","train/total_time_elapsed (last)","args/incremental","args/ewc"
"ON-5044","2024-08-10 00:37:42","shriram","[""RT_POLARITY""]","[]","1","100","3000","BT","0.8715424285044538",,,,,"0.8964705882352941",,"5.0E-4","0.0","default",,,,,"yes","no"
"ON-5043","2024-08-10 00:37:32","shriram","[""RT_POLARITY""]","[]","2","100","2000","BT","0.8795124238162213",,,"0.8926",,,,"5.0E-4","1.0","default",,,,,"no","no"
"ON-5042","2024-08-10 00:37:21","shriram","[""RT_POLARITY""]","[]","1","100","1000","BT","0.8879512423816222","0.8872938664135722",,,,,,"5.0E-4","0.0","default",,,"6.5929889330448E14","545.0980405807495","yes","yes"
"ON-5041","2024-08-10 00:37:12","shriram","[""RT_POLARITY""]","[]","0","100","1000","BT","0.8837318330989217","0.8814806026812196",,,,,,"5.0E-4","0.0","default",,,"6.0934288469136E14","424.06397795677185","yes","yes"
"ON-5038","2024-08-10 00:36:48","shriram","[""RT_POLARITY""]","[]","2","100","2500","BT","0.8949835911861228",,,,"0.8988732394366197",,,"5.0E-4","0.0","default",,,,,"yes","no"
"ON-5037","2024-08-10 00:36:38","shriram","[""RT_POLARITY""]","[]","0","100","3500","BT","0.8729488982653539",,,,,,"0.8954285714285715","5.0E-4","0.0","default",,,,,"yes","yes"
"ON-5034","2024-08-10 00:36:13","shriram","[""RT_POLARITY""]","[]","1","100","3500","BT","0.8804500703234881",,,,,,"0.8918032786885246","5.0E-4","1.0","default",,,,,"yes","no"
"ON-5032","2024-08-10 00:35:55","shriram","[""RT_POLARITY""]","[]","2","100","1500","BT","0.8748241912798875",,"0.8916981132075472",,,,,"5.0E-4","1.0","default",,,,,"no","no"
"ON-5030","2024-08-10 00:35:37","shriram","[""RT_POLARITY""]","[]","0","100","2500","BT","0.8860759493670886",,,,"0.8932394366197183",,,"5.0E-4","0.0","default",,,,,"yes","yes"
"ON-5028","2024-08-10 00:35:17","shriram","[""RT_POLARITY""]","[]","2","100","3500","BT","0.870604781997187",,,,,,"0.886616791354946","5.0E-4","1.0","default",,,,,"yes","no"
"ON-5027","2024-08-10 00:35:07","shriram","[""RT_POLARITY""]","[]","1","100","3500","BT","0.8884200656352556",,,,,,"0.8946296296296297","5.0E-4","1.0","default",,,,,"no","no"
"ON-5026","2024-08-10 00:34:55","shriram","[""RT_POLARITY""]","[]","0","100","3000","BT","0.876699484294421",,,,,"0.8878125",,"5.0E-4","1.0","default",,,,,"yes","no"
"ON-5025","2024-08-10 00:34:45","shriram","[""RT_POLARITY""]","[]","1","100","3000","BT","0.8856071261134553",,,,,"0.89015625",,"5.0E-4","1.0","default",,,,,"yes","no"
"ON-5024","2024-08-10 00:34:34","shriram","[""RT_POLARITY""]","[]","1","100","2500","BT","0.882794186591655",,,,"0.898",,,"5.0E-4","0.0","default",,,,,"yes","no"
"ON-5021","2024-08-10 00:34:06","shriram","[""RT_POLARITY""]","[]","1","100","1500","BT","0.8884200656352556",,"0.8931071301459248",,,,,"5.0E-4","0.0","default",,,"9.0460995E14","837.4321947097778","yes","no"
"ON-5020","2024-08-10 00:33:55","shriram","[""RT_POLARITY""]","[]","1","100","2000","BT","0.8809188935771214",,,"0.8987142857142857",,,,"5.0E-4","0.0","default",,,,,"yes","yes"
"ON-5017","2024-08-10 00:33:27","shriram","[""RT_POLARITY""]","[]","0","100","3000","BT","0.8870135958743554",,,,,"0.8941509433962264",,"5.0E-4","1.0","default",,,,,"no","no"
